"gene_number","atlas","x","se"
4,"MCA",0.154229571984399,0.0806424179667328
5,"MCA",0.199567375886538,0.123590940535678
6,"MCA",0.234936819172119,0.140847074256186
7,"MCA",0.250989610389619,0.136599887060776
8,"MCA",0.342979002624696,0.157738247259264
9,"MCA",0.35501834862385,0.145014718715442
10,"MCA",0.453538181818185,0.200190329781518
11,"MCA",0.49660352422909,0.246475998790589
12,"MCA",0.559733624454113,0.281987552218594
13,"MCA",0.603034285714285,0.277044068435899
14,"MCA",0.656387878787945,0.262281461122344
15,"MCA",0.624950704225355,0.314474075547393
16,"MCA",0.809513888888941,0.384862347514755
17,"MCA",0.890795918367335,0.357253543967105
18,"MCA",0.849574074074153,0.303729560005811
19,"MCA",1.30336000000001,0.827281937104598
20,"MCA",0.901144578313248,0.333257705398497
21,"MCA",1.24598412698412,0.656600062354772
22,"MCA",1.42654838709685,0.762958764661121
23,"MCA",1.70551724137934,1.02270195360349
24,"MCA",1.12777586206906,0.421722633077535
25,"MCA",1.61033333333337,0.840517742761828
26,"MCA",1.82372549019607,1.71754874883581
27,"MCA",1.9842045454546,1.04381988814138
28,"MCA",1.99366666666666,1.18537686388505
29,"MCA",1.96135897435894,1.00698511715957
30,"MCA",2.20455555555553,0.988597691662084
31,"MCA",1.49600000000003,0.507545290808784
32,"MCA",2.30763265306127,1.2358476905006
33,"MCA",2.02660606060618,0.59098100582203
34,"MCA",2.43834285714286,0.683596354436093
35,"MCA",2.40767647058825,0.721343592493479
36,"MCA",2.85047999999997,0.959146957109953
37,"MCA",3.18373529411768,1.32369641447073
38,"MCA",2.61648148148153,1.02716814869719
39,"MCA",2.43586666666668,0.771551394880826
40,"MCA",2.40331818181816,0.566874511793577
41,"MCA",12.1792222222223,18.5451170174129
42,"MCA",3.26072222222213,1.28208515644083
43,"MCA",5.48046666666657,3.28589133315962
44,"MCA",8.11180952380957,6.97013602968983
45,"MCA",11.6705454545455,13.7650775146848
46,"MCA",4.43591666666665,1.37634535119551
47,"MCA",3.45028571428559,0.881813296628003
48,"MCA",4.46609090909066,1.79796885906901
49,"MCA",3.66037500000027,1.20280495836069
50,"MCA",3.39499999999989,0.504561690975551
51,"MCA",4.55806249999995,2.23341324116998
52,"MCA",4.31206666666658,1.4387001818771
53,"MCA",18.6228499999999,22.9147836873353
54,"MCA",5.02860000000019,1.21406780334173
55,"MCA",2.81822222222218,0.882540077780454
56,"MCA",3.88490909090913,0.791964051066589
57,"MCA",5.21660000000002,1.36278078207768
58,"MCA",41.0489999999999,24.9845046358739
59,"MCA",6.85238461538463,3.41980691725163
4,"BCA",0.348819056785123,0.150741375314612
5,"BCA",0.48541364902492,0.216233237204848
6,"BCA",0.595731448763388,0.265996082997491
7,"BCA",0.713744578313204,0.293199357518094
8,"BCA",0.892717500000131,0.33933392302718
9,"BCA",0.894724719101238,0.308827843944888
10,"BCA",1.13950328947389,0.388438757057847
11,"BCA",1.26593846153872,0.453977910961667
12,"BCA",1.45818972332061,0.499053183612845
13,"BCA",1.5956461538464,0.515994937824392
14,"BCA",1.76627222222138,0.547875683877847
