	cellType	genes	tp	fp	fn	precision	recall	f1	Atlas
368	Bladder.basal cell of urothelium	2310043J07Rik	74	479	25	0.133815556764603	0.747474789619446	0.22699385881424	TM, FACS
4132	Bladder.basal cell of urothelium	Dppa5a	41	226	58	0.153558045625687	0.41414138674736	0.22404371201992	TM, FACS
11450	Bladder.basal cell of urothelium	Siglec15	41	247	58	0.142361104488373	0.41414138674736	0.211886316537857	TM, FACS
11426	Bladder.basal cell of urothelium	Shh	99	797	0	0.110491074621677	1	0.198994979262352	TM, FACS
2784	Bladder.basal cell of urothelium	Cd200r3	67	583	32	0.103076927363873	0.676767706871033	0.178905218839645	TM, FACS
16109	Bladder.bladder cell	Upk3b	439	227	93	0.659159183502197	0.825187921524048	0.732888102531433	TM, FACS
14256	Bladder.bladder cell	Snx31	438	246	94	0.640350878238678	0.823308289051056	0.720394790172577	TM, FACS
16107	Bladder.bladder cell	Upk2	485	331	47	0.594362735748291	0.911654114723206	0.7195845246315	TM, FACS
13609	Bladder.bladder cell	Shh	502	394	30	0.560267865657806	0.943609058856964	0.70308119058609	TM, FACS
14766	Bladder.bladder cell	Syt8	504	411	28	0.55081969499588	0.947368383407593	0.696613669395447	TM, FACS
2363	Bladder.mesenchymal cell	Asz1	475	119	181	0.799663305282593	0.72408539056778	0.759999990463257	TM, FACS
4035	Bladder.mesenchymal cell	Cntn4	473	339	183	0.582512319087982	0.721036553382874	0.644414186477661	TM, FACS
12355	Bladder.mesenchymal cell	Prss35	360	138	296	0.722891569137573	0.548780500888824	0.623916804790497	TM, FACS
6421	Bladder.mesenchymal cell	Gata5	374	229	282	0.620232164859772	0.570121943950653	0.594122350215912	TM, FACS
16733	Bladder.mesenchymal cell	Wnt2	640	1232	16	0.341880351305008	0.97560977935791	0.506329119205475	TM, FACS
2138	BrainMicroglia.macrophage	Cd209c	6	171	30	0.0338983051478863	0.16666667163372	0.0563380271196365	TM, FACS
115	BrainMicroglia.macrophage	1700011M02Rik	1	5	35	0.16666667163372	0.0277777779847383	0.0476190485060215	TM, FACS
7069	BrainMicroglia.macrophage	Olfr1351	1	7	35	0.125	0.0277777779847383	0.0454545468091965	TM, FACS
4596	BrainMicroglia.macrophage	Gpr31c	2	59	34	0.0327868834137917	0.0555555559694767	0.0412371121346951	TM, FACS
482	BrainMicroglia.macrophage	4933402N22Rik	1	13	35	0.0714285746216774	0.0277777779847383	0.0399999991059303	TM, FACS
4953	BrainMicroglia.microglial cell	Crybb1	3173	622	1156	0.836100161075592	0.732963740825653	0.781142354011536	TM, FACS
18474	BrainMicroglia.microglial cell	Trem2	4281	2691	48	0.614027559757233	0.988911986351013	0.75763201713562	TM, FACS
15765	BrainMicroglia.microglial cell	Sall1	3319	1177	1010	0.738211750984192	0.766689777374268	0.7521812915802	TM, FACS
13355	BrainMicroglia.microglial cell	P2ry13	4174	2597	155	0.616452515125275	0.96419495344162	0.752072036266327	TM, FACS
10658	BrainMicroglia.microglial cell	Ltc4s	3762	1960	567	0.657462418079376	0.869022846221924	0.748582243919373	TM, FACS
13575	BrainNeurons.astrocyte of the cerebral cortex	Slc6a11	326	250	77	0.565972208976746	0.808933019638062	0.665985703468323	TM, FACS
609	BrainNeurons.astrocyte of the cerebral cortex	2900052N01Rik	271	175	132	0.607623338699341	0.672456562519073	0.638398110866547	TM, FACS
7046	BrainNeurons.astrocyte of the cerebral cortex	Grin2c	267	248	136	0.518446624279022	0.662531018257141	0.581699311733246	TM, FACS
