	Atlas	cellType	Background.cell.types	Logic	genes	precision	recall	f1
1	TM, FACS	Bladder.basal cell of urothelium	All	AND	2310043J07Rik, Dppa5a, Siglec15, Shh, Cd200r3	0.344827586206897	0.101010101010101	0.15625
2	TM, FACS	Bladder.basal cell of urothelium	Tissue	AND	2310043J07Rik, Dppa5a, Siglec15, Shh, Cd200r3	0.344827586206897	0.101010101010101	0.15625
3	TM, FACS	Bladder.basal cell of urothelium	All	OR	2310043J07Rik, Dppa5a, Siglec15, Shh, Cd200r3	0.066577000672495	1	0.12484237074401
4	TM, FACS	Bladder.basal cell of urothelium	Tissue	OR	2310043J07Rik, Dppa5a, Siglec15, Shh, Cd200r3	0.15615141955836	1	0.27012278308322
5	TM, FACS	Bladder.bladder cell	All	AND	Upk3b, Snx31, Upk2, Shh, Syt8	0.966751918158568	0.710526315789474	0.819068255687974
6	TM, FACS	Bladder.bladder cell	Tissue	AND	Upk3b, Snx31, Upk2, Shh, Syt8	0.974226804123711	0.710526315789474	0.821739130434783
7	TM, FACS	Bladder.bladder cell	All	OR	Upk3b, Snx31, Upk2, Shh, Syt8	0.280258203335126	0.979323308270677	0.435800920117106
8	TM, FACS	Bladder.bladder cell	Tissue	OR	Upk3b, Snx31, Upk2, Shh, Syt8	0.789393939393939	0.979323308270677	0.874161073825503
9	TM, FACS	Bladder.mesenchymal cell	All	AND	Asz1, Cntn4, Prss35, Gata5, Wnt2	0.96	0.182926829268293	0.30729833546735
10	TM, FACS	Bladder.mesenchymal cell	Tissue	AND	Asz1, Cntn4, Prss35, Gata5, Wnt2	0.967741935483871	0.182926829268293	0.307692307692308
11	TM, FACS	Bladder.mesenchymal cell	All	OR	Asz1, Cntn4, Prss35, Gata5, Wnt2	0.25477955520874	0.995426829268293	0.405716060888475
12	TM, FACS	Bladder.mesenchymal cell	Tissue	OR	Asz1, Cntn4, Prss35, Gata5, Wnt2	0.974626865671642	0.995426829268293	0.984917043740573
13	TM, FACS	BrainMicroglia.microglial cell	All	AND	Crybb1, Trem2, Sall1, P2ry13, Ltc4s	0.991216512955643	0.521367521367521	0.683318195579776
14	TM, FACS	BrainMicroglia.microglial cell	Tissue	AND	Crybb1, Trem2, Sall1, P2ry13, Ltc4s	1	0.521367521367521	0.685393258426966
15	TM, FACS	BrainMicroglia.microglial cell	All	OR	Crybb1, Trem2, Sall1, P2ry13, Ltc4s	0.369225514473572	0.998844998844999	0.539152119700748
16	TM, FACS	BrainMicroglia.microglial cell	Tissue	OR	Crybb1, Trem2, Sall1, P2ry13, Ltc4s	0.994022988505747	0.998844998844999	0.996428159926259
17	TM, FACS	BrainNeurons.astrocyte of the cerebral cortex	All	AND	Slc6a11, 2900052N01Rik, Grin2c, Gpc5, Gabrg1	0.922480620155039	0.295285359801489	0.447368421052632
18	TM, FACS	BrainNeurons.astrocyte of the cerebral cortex	Tissue	AND	Slc6a11, 2900052N01Rik, Grin2c, Gpc5, Gabrg1	0.9296875	0.295285359801489	0.448210922787194
19	TM, FACS	BrainNeurons.astrocyte of the cerebral cortex	All	OR	Slc6a11, 2900052N01Rik, Grin2c, Gpc5, Gabrg1	0.284132841328413	0.955334987593052	0.437997724687144
20	TM, FACS	BrainNeurons.astrocyte of the cerebral cortex	Tissue	OR	Slc6a11, 2900052N01Rik, Grin2c, Gpc5, Gabrg1	0.48125	0.955334987593052	0.640066500415628
21	TM, FACS	BrainNeurons.Bergmann glial cell	All	AND	Syt10, A2m, Dao, Ctxn3, Cacng5	1	0.4	0.571428571428572
22	TM, FACS	BrainNeurons.Bergmann glial cell	Tissue	AND	Syt10, A2m, Dao, Ctxn3, Cacng5	1	0.4	0.571428571428572
23	TM, FACS	BrainNeurons.Bergmann glial cell	All	OR	Syt10, A2m, Dao, Ctxn3, Cacng5	0.0340479192938209	0.9	0.0656136087484812
24	TM, FACS	BrainNeurons.Bergmann glial cell	Tissue	OR	Syt10, A2m, Dao, Ctxn3, Cacng5	0.0909090909090909	0.9	0.165137614678899
25	TM, FACS	BrainNeurons.brain pericyte	All	AND	Slc38a11, ORF63, Fhl5, Zic1, Olfr558	1	0.234848484848485	0.380368098159509
26	TM, FACS	BrainNeurons.brain pericyte	Tissue	AND	Slc38a11, ORF63, Fhl5, Zic1, Olfr558	1	0.234848484848485	0.380368098159509
27	TM, FACS	BrainNeurons.brain pericyte	All	OR	Slc38a11, ORF63, Fhl5, Zic1, Olfr558	0.145251396648045	0.984848484848485	0.253164556962025
28	TM, FACS	BrainNeurons.brain pericyte	Tissue	OR	Slc38a11, ORF63, Fhl5, Zic1, Olfr558	0.422077922077922	0.984848484848485	0.590909090909091
29	TM, FACS	BrainNeurons.endothelial cell	All	AND	Gm694, Slco1a4, Slc22a8, Zic3, Zic2	0.938775510204082	0.2208	0.357512953367876
30	TM, FACS	BrainNeurons.endothelial cell	Tissue	AND	Gm694, Slco1a4, Slc22a8, Zic3, Zic2	0.938775510204082	0.2208	0.357512953367876
31	TM, FACS	BrainNeurons.endothelial cell	All	OR	Gm694, Slco1a4, Slc22a8, Zic3, Zic2	0.296650717703349	0.992	0.456721915285451
32	TM, FACS	BrainNeurons.endothelial cell	Tissue	OR	Gm694, Slco1a4, Slc22a8, Zic3, Zic2	0.62124248496994	0.992	0.764017252002465
33	TM, FACS	BrainNeurons.neuron	All	AND	Nrsn2, Gabrg2, Cplx1, Cacng3, Cacng2	0.96551724137931	0.285714285714286	0.440944881889764
34	TM, FACS	BrainNeurons.neuron	Tissue	AND	Nrsn2, Gabrg2, Cplx1, Cacng3, Cacng2	0.96551724137931	0.285714285714286	0.440944881889764
35	TM, FACS	BrainNeurons.neuron	All	OR	Nrsn2, Gabrg2, Cplx1, Cacng3, Cacng2	0.3125	0.969387755102041	0.472636815920398
36	TM, FACS	BrainNeurons.neuron	Tissue	OR	Nrsn2, Gabrg2, Cplx1, Cacng3, Cacng2	0.575757575757576	0.969387755102041	0.722433460076046
37	TM, FACS	BrainNeurons.neuronal stem cell	All	AND	Gsx2, Dlx1, Igfbpl1, Dlx1as, Sp9	1	0.166666666666667	0.285714285714286
38	TM, FACS	BrainNeurons.neuronal stem cell	Tissue	AND	Gsx2, Dlx1, Igfbpl1, Dlx1as, Sp9	1	0.166666666666667	0.285714285714286
39	TM, FACS	BrainNeurons.neuronal stem cell	All	OR	Gsx2, Dlx1, Igfbpl1, Dlx1as, Sp9	0.0849315068493151	0.861111111111111	0.154613466334165
40	TM, FACS	BrainNeurons.neuronal stem cell	Tissue	OR	Gsx2, Dlx1, Igfbpl1, Dlx1as, Sp9	0.31	0.861111111111111	0.455882352941177
41	TM, FACS	BrainNeurons.oligodendrocyte	All	AND	Nkx6-2, Hapln2, Kndc1, Nkain2, Sox2ot	0.975578406169666	0.639966273187184	0.772912423625255
42	TM, FACS	BrainNeurons.oligodendrocyte	Tissue	AND	Nkx6-2, Hapln2, Kndc1, Nkain2, Sox2ot	0.98443579766537	0.639966273187184	0.775677056719469
43	TM, FACS	BrainNeurons.oligodendrocyte	All	OR	Nkx6-2, Hapln2, Kndc1, Nkain2, Sox2ot	0.404030054644809	0.997470489038786	0.575109382596014
44	TM, FACS	BrainNeurons.oligodendrocyte	Tissue	OR	Nkx6-2, Hapln2, Kndc1, Nkain2, Sox2ot	0.720901889092017	0.997470489038786	0.836929607357623
45	TM, FACS	BrainNeurons.oligodendrocyte precursor cell	All	AND	A930003O13Rik, Sox3, Neu4, Lhfpl3, C1ql1	1	0.594059405940594	0.745341614906832
46	TM, FACS	BrainNeurons.oligodendrocyte precursor cell	Tissue	AND	A930003O13Rik, Sox3, Neu4, Lhfpl3, C1ql1	1	0.594059405940594	0.745341614906832
