	TM_FACS	TM_10X	MCA.values
0610005C13Rik	4	2	7
0610007P14Rik	53	24	7
0610009B22Rik	30	13	6
0610009L18Rik	8	4	19
0610009O20Rik	33	9	1
0610010F05Rik	9	1	0
0610010K14Rik	78	55	0
0610012G03Rik	77	54	79
0610030E20Rik	37	14	0
0610031O16Rik	1	0	0
0610037L13Rik	56	22	3
0610038B21Rik	3	0	0
0610039K10Rik	1	0	0
0610040B10Rik	1	0	0
0610040F04Rik	0	0	0
0610040J01Rik	18	5	2
0610043K17Rik	0	0	0
1110002L01Rik	0	0	0
1110004E09Rik	27	19	22
1110004F10Rik	95	63	100
1110006O24Rik	0	0	0
1110008F13Rik	83	67	146
1110008L16Rik	8	0	6
1110008P14Rik	52	38	24
1110012L19Rik	16	3	1
1110017D15Rik	1	2	20
1110019D14Rik	1	0	0
1110020A21Rik	2	0	1
1110028F11Rik	0	1	0
1110028F18Rik	0	0	0
1110032A03Rik	22	7	21
1110032F04Rik	0	0	0
1110034G24Rik	10	0	0
1110036E04Rik	0	0	0
1110037F02Rik	27	7	0
1110038B12Rik	25	18	27
1110038F14Rik	44	28	3
1110046J04Rik	0	0	0
1110051M20Rik	25	1	3
1110059E24Rik	24	16	1
1110059G10Rik	33	11	0
1110065P20Rik	26	16	12
1190002N15Rik	16	4	0
1190003K10Rik	0	0	0
1190005I06Rik	3	0	1
1190007I07Rik	17	10	1
1300002E11Rik	19	10	6
1300017J02Rik	1	1	1
1500004A13Rik	4	0	0
1500009C09Rik	4	0	0
1500009L16Rik	4	3	3
1500011B03Rik	13	2	1
1500011K16Rik	46	37	9
1500012K07Rik	0	0	0
1500015A07Rik	4	0	0
1500015L24Rik	0	0	0
1500015O10Rik	2	6	20
1500017E21Rik	2	0	0
1600002D24Rik	0	0	0
1600002H07Rik	1	0	0
1600002K03Rik	16	7	1
1600010M07Rik	9	7	0
1600012H06Rik	30	8	2
1600014C10Rik	16	9	4
1600014C23Rik	0	0	0
1600015I10Rik	0	0	0
1600020E01Rik	7	1	0
1600025M17Rik	0	0	6
1600029O15Rik	0	0	0
1700001C02Rik	1	2	20
1700001C19Rik	1	0	17
1700001D01Rik	1	0	0
1700001G11Rik	0	0	14
1700001G17Rik	0	0	0
1700001J03Rik	0	0	19
1700001J11Rik	0	0	15
1700001K19Rik	0	0	11
1700001L05Rik	2	0	11
1700001L19Rik	1	2	4
1700001O22Rik	0	0	19
1700001P01Rik	0	0	11
1700003C15Rik	0	0	0
1700003D09Rik	0	0	0
1700003E16Rik	0	1	19
1700003F12Rik	0	0	19
1700003G13Rik	0	0	0
1700003G18Rik	0	0	0
1700003M07Rik	1	0	0
1700006F04Rik	0	0	0
1700006H21Rik	0	0	0
1700007B14Rik	0	0	3
1700007F19Rik	0	0	0
1700007G11Rik	1	2	19
1700007J10Rik	0	0	0
1700007K09Rik	0	0	15
1700007K13Rik	1	2	4
1700007L15Rik	1	0	4
1700007P06Rik	0	0	2
1700008J07Rik	8	0	5
1700008O03Rik	1	0	2
1700008P02Rik	0	0	0
1700009J07Rik	0	0	4
1700009N14Rik	0	0	17
1700010B08Rik	0	0	18
1700010I14Rik	0	0	19
1700010K23Rik	0	0	18
1700011B04Rik	0	0	0
1700011H14Rik	3	3	15
1700011I03Rik	0	0	15
1700011L22Rik	0	0	15
1700011M02Rik	0	0	1
1700012B07Rik	0	0	14
1700012B09Rik	0	1	20
1700012D14Rik	0	0	0
1700012I11Rik	0	0	0
1700013D24Rik	0	0	13
1700013F07Rik	1	1	19
1700013G24Rik	0	0	16
1700013H16Rik	0	0	2
1700015F17Rik	0	0	16
1700016C15Rik	0	1	4
1700016D06Rik	0	0	3
1700016G22Rik	0	0	2
1700016H13Rik	0	0	17
1700016K19Rik	1	2	20
1700016P04Rik	0	0	15
1700017B05Rik	16	1	0
1700017D01Rik	0	0	8
1700017G19Rik	0	0	2
1700017J07Rik	0	0	3
1700017N19Rik	0	0	6
1700018A04Rik	0	0	2
1700018B08Rik	0	0	19
1700018F24Rik	0	0	3
1700018L02Rik	6	0	17
1700019A02Rik	0	0	18
1700019B03Rik	0	0	1
1700019D03Rik	8	0	18
1700019G24Rik	0	0	19
1700019N19Rik	0	0	18
1700020A23Rik	0	0	4
1700020D05Rik	0	0	19
1700020I14Rik	62	26	2
1700020L24Rik	1	2	9
1700020M21Rik	0	0	0
1700020N01Rik	0	0	16
1700020N18Rik	0	0	0
1700021F05Rik	29	11	7
1700021N21Rik	0	0	0
1700022H16Rik	0	0	0
1700022I11Rik	0	0	2
1700023C21Rik	0	0	0
1700023F06Rik	5	0	3
1700024B18Rik	0	0	0
1700024G13Rik	1	2	4
1700024P16Rik	1	0	0
1700025B11Rik	0	0	12
1700025F24Rik	0	0	0
1700025G04Rik	34	25	3
1700025M24Rik	0	0	0
1700025N23Rik	0	0	1
1700026D11Rik	0	0	5
1700027F09Rik	0	0	1
1700027I24Rik	0	0	0
1700028B04Rik	0	0	0
1700028D13Rik	0	0	1
1700028E10Rik	1	0	0
1700028I16Rik	0	0	0
1700028J19Rik	0	0	19
1700028K03Rik	0	0	0
