	Atlas	cellType	gene
1	TM, FACS	Bladder.basal cell of urothelium	1280
2	TM, FACS	Bladder.bladder cell	842
3	TM, FACS	Bladder.mesenchymal cell	545
4	TM, FACS	BrainMicroglia.macrophage	118
5	TM, FACS	BrainMicroglia.microglial cell	75
6	TM, FACS	BrainNeurons.astrocyte of the cerebral cortex	46
7	TM, FACS	BrainNeurons.Bergmann glial cell	72
8	TM, FACS	BrainNeurons.brain pericyte	234
9	TM, FACS	BrainNeurons.endothelial cell	122
10	TM, FACS	BrainNeurons.neuron	124
11	TM, FACS	BrainNeurons.neuronal stem cell	331
12	TM, FACS	BrainNeurons.oligodendrocyte	320
13	TM, FACS	BrainNeurons.oligodendrocyte precursor cell	163
14	TM, FACS	BrainNeurons.smooth muscle cell	638
15	TM, FACS	BrainNeurons.unknown	5
16	TM, FACS	Colon.Brush cell of epithelium proper of large intestine	50
17	TM, FACS	Colon.enterocyte of epithelium of large intestine	125
18	TM, FACS	Colon.enteroendocrine cell	472
19	TM, FACS	Colon.epithelial cell of large intestine	109
20	TM, FACS	Colon.large intestine goblet cell	263
21	TM, FACS	Fat.B cell	99
22	TM, FACS	Fat.endothelial cell	40
23	TM, FACS	Fat.epithelial cell	299
24	TM, FACS	Fat.granulocyte	53
25	TM, FACS	Fat.mesenchymal stem cell of adipose	287
26	TM, FACS	Fat.myeloid cell	130
27	TM, FACS	Fat.natural killer cell	101
28	TM, FACS	Fat.neutrophil	249
29	TM, FACS	Fat.smooth muscle cell	326
30	TM, FACS	Fat.T cell	128
31	TM, FACS	Heart.cardiac muscle cell	81
32	TM, FACS	Heart.endocardial cell	142
33	TM, FACS	Heart.endothelial cell	36
34	TM, FACS	Heart.epicardial adipocyte	5
35	TM, FACS	Heart.erythrocyte	12
36	TM, FACS	Heart.fibroblast	136
37	TM, FACS	Heart.hematopoietic cell	252
38	TM, FACS	Heart.leukocyte	130
39	TM, FACS	Heart.smooth muscle cell	16
40	TM, FACS	Heart.unknown	4
41	TM, FACS	Kidney.endothelial cell	27
42	TM, FACS	Kidney.fenestrated cell	60
