	Atlas	Tissue	Cell.types	Number.of.genes
49	TM, FACS	Liver	Liver.hepatocyte	198
75	TM, FACS	Marrow	Marrow.hematopoietic stem cell	126
19	TM, FACS	Colon	Colon.epithelial cell of large intestine	119
25	TM, FACS	Fat	Fat.mesenchymal stem cell of adipose	115
5	TM, FACS	BrainMicroglia	BrainMicroglia.microglial cell	106
11	TM, FACS	BrainNeurons	BrainNeurons.neuronal stem cell	92
10	TM, FACS	BrainNeurons	BrainNeurons.neuron	90
13	TM, FACS	BrainNeurons	BrainNeurons.oligodendrocyte precursor cell	82
31	TM, FACS	Heart	Heart.cardiac muscle cell	72
12	TM, FACS	BrainNeurons	BrainNeurons.oligodendrocyte	59
68	TM, FACS	Mammary	Mammary.basal cell	40
95	TM, FACS	Pancreas	Pancreas.type B pancreatic cell	39
20	TM, FACS	Colon	Colon.large intestine goblet cell	32
17	TM, FACS	Colon	Colon.enterocyte of epithelium of large intestine	30
72	TM, FACS	Marrow	Marrow.B cell	27
105	TM, FACS	Tongue	Tongue.basal cell of epidermis	27
36	TM, FACS	Heart	Heart.fibroblast	22
3	TM, FACS	Bladder	Bladder.mesenchymal cell	19
98	TM, FACS	Skin	Skin.keratinocyte stem cell	17
106	TM, FACS	Tongue	Tongue.keratinocyte	17
78	TM, FACS	Marrow	Marrow.neutrophil	15
6	TM, FACS	BrainNeurons	BrainNeurons.astrocyte of the cerebral cortex	14
90	TM, FACS	Pancreas	Pancreas.pancreatic acinar cell	13
2	TM, FACS	Bladder	Bladder.bladder cell	12
45	TM, FACS	Kidney	Kidney.kidney tubule cell	12
104	TM, FACS	Thymus	Thymus.T cell	11
53	TM, FACS	Lung	Lung.ciliated cell	10
67	TM, FACS	Lung	Lung.type II pneumocyte	10
33	TM, FACS	Heart	Heart.endothelial cell	9
70	TM, FACS	Mammary	Mammary.luminal epithelial cell of mammary gland	9
73	TM, FACS	Marrow	Marrow.Fraction A pre-pro B cell	7
26	TM, FACS	Fat	Fat.myeloid cell	6
89	TM, FACS	Pancreas	Pancreas.pancreatic A cell	6
84	TM, FACS	Muscle	Muscle.skeletal muscle satellite cell	5
110	TM, FACS	Trachea	Trachea.stromal cell	5
16	TM, FACS	Colon	Colon.Brush cell of epithelium proper of large intestine	4
74	TM, FACS	Marrow	Marrow.granulocyte	4
92	TM, FACS	Pancreas	Pancreas.pancreatic ductal cell	4
96	TM, FACS	Skin	Skin.basal cell of epidermis	4
44	TM, FACS	Kidney	Kidney.kidney collecting duct cell	3
50	TM, FACS	Liver	Liver.Kupffer cell	3
91	TM, FACS	Pancreas	Pancreas.pancreatic D cell	3
97	TM, FACS	Skin	Skin.epidermal cell	3
100	TM, FACS	Spleen	Spleen.B cell	3
8	TM, FACS	BrainNeurons	BrainNeurons.brain pericyte	2
24	TM, FACS	Fat	Fat.granulocyte	2
38	TM, FACS	Heart	Heart.leukocyte	2
48	TM, FACS	Liver	Liver.endothelial cell of hepatic sinusoid	2
56	TM, FACS	Lung	Lung.endothelial cell	2
76	TM, FACS	Marrow	Marrow.monocyte	2
77	TM, FACS	Marrow	Marrow.natural killer cell	2
7	TM, FACS	BrainNeurons	BrainNeurons.Bergmann glial cell	1
9	TM, FACS	BrainNeurons	BrainNeurons.endothelial cell	1
22	TM, FACS	Fat	Fat.endothelial cell	1
29	TM, FACS	Fat	Fat.smooth muscle cell	1
30	TM, FACS	Fat	Fat.T cell	1
32	TM, FACS	Heart	Heart.endocardial cell	1
39	TM, FACS	Heart	Heart.smooth muscle cell	1
42	TM, FACS	Kidney	Kidney.fenestrated cell	1
64	TM, FACS	Lung	Lung.stromal cell	1
102	TM, FACS	Spleen	Spleen.T cell	1
108	TM, FACS	Trachea	Trachea.epithelial cell	1
1	TM, FACS	Bladder	Bladder.basal cell of urothelium	0
4	TM, FACS	BrainMicroglia	BrainMicroglia.macrophage	0
14	TM, FACS	BrainNeurons	BrainNeurons.smooth muscle cell	0
15	TM, FACS	BrainNeurons	BrainNeurons.unknown	0
18	TM, FACS	Colon	Colon.enteroendocrine cell	0
21	TM, FACS	Fat	Fat.B cell	0
23	TM, FACS	Fat	Fat.epithelial cell	0
27	TM, FACS	Fat	Fat.natural killer cell	0
28	TM, FACS	Fat	Fat.neutrophil	0
34	TM, FACS	Heart	Heart.epicardial adipocyte	0
35	TM, FACS	Heart	Heart.erythrocyte	0
37	TM, FACS	Heart	Heart.hematopoietic cell	0
40	TM, FACS	Heart	Heart.unknown	0
41	TM, FACS	Kidney	Kidney.endothelial cell	0
