	ref	merged	Index	Celltype	genenames
TM, FACS - Mammary.basal cell-Fxyd3	0.966327309608459	0.966327309608459	TM, FACS	Mammary.basal cell	Fxyd3
TM, FACS - Mammary.basal cell-Lgals7	0.961492657661438	0.961492657661438	TM, FACS	Mammary.basal cell	Lgals7
TM, FACS - Mammary.basal cell-Krt5	0.959783434867859	0.959783434867859	TM, FACS	Mammary.basal cell	Krt5
TM, FACS - Mammary.basal cell-Tagln	0.951821446418762	0.951821446418762	TM, FACS	Mammary.basal cell	Tagln
TM, FACS - Mammary.basal cell-Tpm2	0.950267732143402	0.950267732143402	TM, FACS	Mammary.basal cell	Tpm2
TM, FACS - Mammary.basal cell-Sfn	0.94696968793869	0.94696968793869	TM, FACS	Mammary.basal cell	Sfn
TM, FACS - Mammary.basal cell-Lcn2	0.94590425491333	0.94590425491333	TM, FACS	Mammary.basal cell	Lcn2
TM, FACS - Mammary.basal cell-Plekhb1	0.945816814899445	0.945816814899445	TM, FACS	Mammary.basal cell	Plekhb1
TM, FACS - Mammary.basal cell-Serpinb5	0.945804834365845	0.945804834365845	TM, FACS	Mammary.basal cell	Serpinb5
TM, FACS - Mammary.basal cell-Cxcl14	0.942519903182983	0.942519903182983	TM, FACS	Mammary.basal cell	Cxcl14
TM, FACS - Mammary.basal cell-Bcam	0.938067018985748	0.938067018985748	TM, FACS	Mammary.basal cell	Bcam
TM, FACS - Mammary.basal cell-Mylk	0.937920153141022	0.937920153141022	TM, FACS	Mammary.basal cell	Mylk
TM, FACS - Mammary.basal cell-Gjb4	0.937601268291473	0.937601268291473	TM, FACS	Mammary.basal cell	Gjb4
TM, FACS - Mammary.basal cell-Runx1	0.937035501003265	0.937035501003265	TM, FACS	Mammary.basal cell	Runx1
TM, FACS - Mammary.basal cell-Krt17	0.936794638633728	0.936794638633728	TM, FACS	Mammary.basal cell	Krt17
TM, FACS - Mammary.basal cell-Cnn1	0.935980558395386	0.935980558395386	TM, FACS	Mammary.basal cell	Cnn1
