"atlas","dataset","compressed","uncompressed","cells","celltype","sparsity","index_time","total_compressed","total_uncompressed","total_cells","total_index_time"
"BCA","Sympathetic",6430498,334881592,1490,7,0.87666775508125,2.63188028335571,6430498,105229792416,1490,644.787939786911
"BCA","Drg",12038061,660797080,2948,13,0.903448045213442,4.71123075485229,18468559,20386631184,4438,113.852815628052
"BCA","Cerebellum",13087865,2753988184,12312,14,0.978392046414228,11.1816627979279,31556424,8436745040,16750,40.9099936485291
"BCA","Striatumdorsal",23658500,2633949352,11775,20,0.948549439996814,13.710075378418,55214924,100361799616,28525,619.839363574982
"BCA","Enteric",27922917,3895139464,17417,9,0.941307181532637,27.88809466362,83137841,24281770648,45942,142.222290039062
"BCA","Cortex1",30233179,3063809080,13698,20,0.93583945945536,20.726580619812,113371020,11500554120,59640,62.291552066803
"BCA","Olfactory",30504306,4614701848,20636,19,0.960819978664784,19.9851684570312,143875326,75401472328,80276,453.640528202057
"BCA","Amygdala",31402453,5682756856,25414,22,0.967136472899628,29.3557395935059,175277779,5682756856,105690,29.3557395935059
"BCA","Striatumventral",32136275,4533111208,20271,20,0.9588586891207,21.3470189571381,207414054,104894910824,125961,641.970196962357
"BCA","Cortex3",32589482,3571459336,15969,21,0.941278260693746,19.6462512016296,240003536,19725834104,141930,108.739562988281
"BCA","Cortex2",38070642,4653820648,20811,21,0.946287574183509,25.2369220256805,278074178,16154374768,162741,88.3779273033142
"BCA","Hypothalamus",46877130,8235985048,36836,19,0.960123092232275,47.2187211513519,324951308,39118127832,199577,232.554621934891
"BCA","Hippocampus",49925315,6600372136,29519,22,0.944862069089848,41.419454574585,374876623,30882142784,229096,184.544472455978
"BCA","Midbrainventral",50302497,8390671960,37528,18,0.956157169922917,45.424473285675,425179120,70786770480,266624,432.882873058319
"BCA","Thalamus",52924898,8201336968,36681,20,0.95311444890086,49.4127757549286,478104018,113431129384,303305,695.237118721008
"BCA","Spinalcord",56310618,8323387624,37227,18,0.946959946526201,49.0997517108917,534414636,97727850264,340532,605.498136281967
"BCA","Midbraindorsal",59174490,8706304792,38940,18,0.947258210181598,46.1483869552612,593589126,62396098520,379472,386.62681555748
"MCA","Prostate",2858466,279175472,2505,6,0.978022822822823,1.25942134857178,2858466,24955990336,2505,156.582009792328
"MCA","Spleen",5363377,277823768,1970,11,0.968725930276461,1.49059915542603,8221843,26044361952,4475,166.261833906174
"MCA","Muscle",5640674,153630992,1102,17,0.96894576013827,1.18464994430542,13862517,18484431936,5577,115.369970083237
"MCA","FetalLiver",6369900,357317384,2699,11,0.952395459241558,2.04523134231567,20232417,7900701680,8276,47.7350330352783
"MCA","Thymus",6841690,499702736,4289,8,0.956328373146852,2.51283836364746,27074107,29459271600,12565,185.848975419998
