"atlas","dataset","celltype","total_cells","total_features","rho","pvalue"
"BCA","Amygdala","AstrocytesAstrocyte",1360,14032,0.449302081420939,0
"BCA","Amygdala","AstrocytesOEC",2,599,0.94275317304629,1.3072084220537e-303
"BCA","Amygdala","Blood",603,12439,0.4314411534858,0
"BCA","Amygdala","Ependymal",109,11973,0.504204871024235,0
"BCA","Amygdala","EpendymalTtr",12,5232,0.729571756239386,0
"BCA","Amygdala","ExcludedAstrocyteImmune",12,4564,0.686020057725939,0
"BCA","Amygdala","ExcludedAstrocyteNeurons",85,12174,0.517995772911281,0
"BCA","Amygdala","ExcludedAstrocyteOligos",65,9675,0.549952130097226,0
"BCA","Amygdala","ExcludedAstrocyteVascular",16,5707,0.660489770982339,0
"BCA","Amygdala","ExcludedImmuneNeurons",6,7396,0.751380743794275,0
"BCA","Amygdala","ExcludedImmuneOligos",43,8310,0.583701030519325,0
"BCA","Amygdala","ExcludedNeuronsOligos",137,13147,0.518539542878575,0
"BCA","Amygdala","ExcludedNeuronsVascular",2,4965,0.900771642005028,0
"BCA","Amygdala","ExcludedOligosVascular",3,2858,0.848983853331745,0
"BCA","Amygdala","Immune",1940,14569,0.501357179551004,0
"BCA","Amygdala","Neurons",16191,19496,0.443710019015944,0
"BCA","Amygdala","NeuronsNeuronsCycling",26,6005,0.605209646595597,0
"BCA","Amygdala","Oligos",3667,15547,0.460958503118613,0
"BCA","Amygdala","OligosOligosCycling",19,5969,0.611225402218697,0
"BCA","Amygdala","Vascular",1114,14613,0.466827057133816,0
"BCA","Cerebellum","AstrocytesAstrocyte",642,13165,0.384365812688447,0
"BCA","Cerebellum","AstrocytesBergmannglia",753,13711,0.42156804774062,0
"BCA","Cerebellum","Blood",237,9793,0.432490717882299,0
"BCA","Cerebellum","Ependymal",15,6954,0.659843556665202,0
"BCA","Cerebellum","ExcludedAstrocyteVascular",2,1406,0.927830360240904,0
"BCA","Cerebellum","ExcludedNeuronsOligos",4,2646,0.881432821027552,0
"BCA","Cerebellum","Immune",158,10435,0.535580593992874,0
"BCA","Cerebellum","Neurons",9340,16319,0.336265262578301,0
"BCA","Cerebellum","NeuronsNeuronsCycling",20,5902,0.657000071533362,0
"BCA","Cerebellum","Oligos",591,13456,0.482242655175738,0
"BCA","Cerebellum","OligosOligosCycling",4,2217,0.808516318420202,0
"BCA","Cerebellum","Vascular",544,13865,0.451284894408175,0
"BCA","Cortex1","AstrocytesAstrocyte",1314,14695,0.489117437491984,0
"BCA","Cortex1","AstrocytesBergmannglia",2,1691,0.905513639274737,0
"BCA","Cortex1","AstrocytesOEC",4,2403,0.808430534187057,0
"BCA","Cortex1","Blood",33,6383,0.616031790801078,0
"BCA","Cortex1","ExcludedAstrocyteImmune",28,8522,0.615111532408056,0
"BCA","Cortex1","ExcludedAstrocyteNeurons",101,13108,0.550811191309532,0
"BCA","Cortex1","ExcludedAstrocyteOligos",26,9201,0.616435864145019,0
"BCA","Cortex1","ExcludedAstrocyteVascular",24,8960,0.617180645516807,0
"BCA","Cortex1","ExcludedExVascular",10,9529,0.684378906285811,0
"BCA","Cortex1","ExcludedImmuneNeurons",106,13258,0.570453953173304,0
"BCA","Cortex1","ExcludedImmuneOligos",13,6787,0.693221884478844,0
"BCA","Cortex1","ExcludedNeuronsOligos",55,12061,0.567300481960212,0
"BCA","Cortex1","ExcludedNeuronsVascular",17,10881,0.659544725279512,0
"BCA","Cortex1","ExcludedOligosVascular",11,7022,0.68719662118067,0
"BCA","Cortex1","Immune",588,13939,0.543136683444112,0
"BCA","Cortex1","Neurons",8934,18973,0.532274227859909,0
"BCA","Cortex1","NeuronsNeuronsCycling",12,5530,0.695890401930534,0
"BCA","Cortex1","Oligos",1422,14989,0.537027494377827,0
"BCA","Cortex1","OligosOligosCycling",8,5192,0.703444510926712,0
"BCA","Cortex1","Vascular",990,15173,0.525275800088407,0
"BCA","Cortex2","AstrocytesAstrocyte",2676,16038,0.482468295577605,0
"BCA","Cortex2","Blood",154,10872,0.512680530282492,0
"BCA","Cortex2","Ependymal",8,6108,0.739243239447248,0
"BCA","Cortex2","EpendymalTtr",2,2266,0.91597411909357,0
"BCA","Cortex2","ExcludedAstrocyteImmune",38,9697,0.602511883341638,0
"BCA","Cortex2","ExcludedAstrocyteNeurons",125,13426,0.512123932959635,0
"BCA","Cortex2","ExcludedAstrocyteOligos",55,10754,0.570871064973307,0
"BCA","Cortex2","ExcludedAstrocyteVascular",59,10957,0.552039838695508,0
"BCA","Cortex2","ExcludedBloodVascular",2,2674,0.899743744651126,0
"BCA","Cortex2","ExcludedExVascular",5,7281,0.756433794564991,0
"BCA","Cortex2","ExcludedImmuneNeurons",66,12599,0.561344008068953,0
"BCA","Cortex2","ExcludedImmuneOligos",24,9169,0.635439646273,0
"BCA","Cortex2","ExcludedNeuronsOligos",207,13643,0.494087307364054,0
"BCA","Cortex2","ExcludedNeuronsVascular",9,9042,0.683639934429585,0
"BCA","Cortex2","ExcludedOligosVascular",17,8781,0.663843764823349,0
"BCA","Cortex2","Immune",1218,14781,0.529271107296475,0
"BCA","Cortex2","Neurons",11767,19618,0.487711880880279,0
"BCA","Cortex2","NeuronsNeuronsCycling",9,5918,0.740050399257911,0
"BCA","Cortex2","Oligos",2308,16126,0.522147210921466,0
"BCA","Cortex2","OligosOligosCycling",23,8448,0.575504281447061,0
"BCA","Cortex2","Vascular",2039,16635,0.499878148612825,0
"BCA","Cortex3","AstrocytesAstrocyte",2755,15499,0.480776660360532,0
"BCA","Cortex3","AstrocytesBergmannglia",3,3173,0.859890976133517,0
"BCA","Cortex3","Blood",100,9272,0.580125173612851,0
"BCA","Cortex3","Ependymal",9,6573,0.695585889594637,0
"BCA","Cortex3","EpendymalTtr",2,1438,0.902302684226622,0
"BCA","Cortex3","ExcludedAstrocyteImmune",40,9246,0.60095723832366,0
"BCA","Cortex3","ExcludedAstrocyteNeurons",150,13674,0.531588957508962,0
"BCA","Cortex3","ExcludedAstrocyteOligos",29,9019,0.6249942710992,0
"BCA","Cortex3","ExcludedAstrocyteVascular",27,9446,0.610559539942856,0
"BCA","Cortex3","ExcludedExVascular",7,8131,0.714368886585463,0
"BCA","Cortex3","ExcludedImmuneNeurons",76,12756,0.563997166817187,0
"BCA","Cortex3","ExcludedImmuneOligos",9,5834,0.729677520275377,0
"BCA","Cortex3","ExcludedNeuronsOligos",34,11509,0.608943365997501,0
"BCA","Cortex3","ExcludedNeuronsVascular",22,10656,0.625102334049596,0
"BCA","Cortex3","ExcludedOligosVascular",10,6929,0.70657760042927,0
"BCA","Cortex3","Immune",830,14012,0.556794772343971,0
"BCA","Cortex3","Neurons",9094,19048,0.525477125695692,0
"BCA","Cortex3","NeuronsNeuronsCycling",39,9833,0.629988051256496,0
"BCA","Cortex3","Oligos",1391,14947,0.531344989356712,0
"BCA","Cortex3","OligosOligosCycling",13,5641,0.638593871184052,0
"BCA","Cortex3","Vascular",1329,15616,0.517383555917062,0
"BCA","Drg","AstrocytesOEC",28,8155,0.612171354755684,0
"BCA","Drg","Blood",9,2871,0.777426521022826,0
"BCA","Drg","ExcludedAstrocyteNeurons",59,12093,0.596589100931761,0
"BCA","Drg","ExcludedNeuronsSatelliteglia",51,12046,0.622415692767877,0
"BCA","Drg","ExcludedSatellitegliaSchwann",30,8588,0.613992228216424,0
"BCA","Drg","Neurons",1736,17713,0.612545275935292,0
"BCA","Drg","Oligos",9,5143,0.701842641196305,0
"BCA","Drg","PeripheralGliaEntericglia",3,2805,0.847737031935128,0
"BCA","Drg","PeripheralGliaSatelliteglia",728,14079,0.563111490740334,0
"BCA","Drg","PeripheralGliaSatellitegliaCycling",35,9405,0.618735450592298,0
"BCA","Drg","PeripheralGliaSchwann",47,9124,0.622037363951175,0
"BCA","Drg","Vascular",212,13726,0.568723278675131,0
"BCA","Enteric","Blood",6,1128,0.845315498307567,0
"BCA","Enteric","Immune",10,7480,0.73317256768179,0
"BCA","Enteric","Neurons",1266,17853,0.548033886862915,0
"BCA","Enteric","NeuronsNeuronsCycling",2,2502,0.923288477042393,0
"BCA","Enteric","Oligos",4,2829,0.850729368410952,0
"BCA","Enteric","Vascular",193,14745,0.574252627622212,0
"BCA","Hippocampus","AstrocytesAstrocyte",4332,16421,0.50711801988696,0
"BCA","Hippocampus","AstrocytesBergmannglia",16,4985,0.666904554695754,0
"BCA","Hippocampus","Blood",80,8328,0.599059569056463,0
"BCA","Hippocampus","Ependymal",27,9478,0.597408345954862,0
"BCA","Hippocampus","EpendymalTtr",7,5999,0.76425011547427,0
"BCA","Hippocampus","ExcludedAstrocyteImmune",45,9723,0.610230938331871,0
"BCA","Hippocampus","ExcludedAstrocyteNeurons",116,13078,0.539526390482657,0
"BCA","Hippocampus","ExcludedAstrocyteOligos",94,11584,0.5675924283804,0
"BCA","Hippocampus","ExcludedAstrocyteVascular",21,8077,0.639311993871999,0
"BCA","Hippocampus","ExcludedExVascular",3,5784,0.83343845798895,0
"BCA","Hippocampus","ExcludedImmuneNeurons",34,11147,0.615766046786711,0
"BCA","Hippocampus","ExcludedImmuneOligos",9,5695,0.723048324265983,0
"BCA","Hippocampus","ExcludedNeuronsOligos",66,12774,0.57675301345759,0
"BCA","Hippocampus","ExcludedNeuronsVascular",8,8169,0.714039322885909,0
"BCA","Hippocampus","ExcludedOligosVascular",3,4534,0.847010365447416,0
"BCA","Hippocampus","Immune",1362,14979,0.5651307782619,0
"BCA","Hippocampus","Neurons",19004,20131,0.510531761504594,0
"BCA","Hippocampus","NeuronsNeuronsCycling",188,12614,0.576964836696971,0
"BCA","Hippocampus","Oligos",2804,16232,0.525630005298902,0
"BCA","Hippocampus","OligosOligosCycling",42,9554,0.568877809771907,0
"BCA","Hippocampus","Vascular",1257,15722,0.523551270020772,0
"BCA","Hypothalamus","AstrocytesAstrocyte",1625,14445,0.412157731346432,0
"BCA","Hypothalamus","AstrocytesBergmannglia",4,1189,0.876659308039222,0
"BCA","Hypothalamus","Blood",938,13004,0.393906000187721,0
"BCA","Hypothalamus","Ependymal",202,13340,0.442152698152751,0
"BCA","Hypothalamus","EpendymalTtr",6,3114,0.791590594112454,0
"BCA","Hypothalamus","ExcludedAstrocyteImmune",23,6632,0.638499257430361,0
"BCA","Hypothalamus","ExcludedAstrocyteNeurons",180,13589,0.499488462152016,0
"BCA","Hypothalamus","ExcludedAstrocyteOligos",146,11551,0.497258356478656,0
"BCA","Hypothalamus","ExcludedAstrocyteVascular",28,9379,0.595480234228359,0
"BCA","Hypothalamus","ExcludedImmuneOligos",34,8485,0.58089487102436,0
"BCA","Hypothalamus","ExcludedNeuronsOligos",303,14795,0.51652722044407,0
"BCA","Hypothalamus","ExcludedOligosVascular",18,7908,0.627802662025285,0
"BCA","Hypothalamus","Immune",1540,14560,0.4927100776885,0
"BCA","Hypothalamus","Neurons",22293,20430,0.454207939563398,0
"BCA","Hypothalamus","NeuronsNeuronsCycling",11,3249,0.701297769207498,0
"BCA","Hypothalamus","Oligos",7886,17120,0.45775493987592,0
"BCA","Hypothalamus","OligosOligosCycling",29,8238,0.582797093875859,0
"BCA","Hypothalamus","Vascular",1569,16031,0.465380366757924,0
"BCA","Medulla","AstrocytesAstrocyte",2707,15577,0.446828694119714,0
"BCA","Medulla","AstrocytesBergmannglia",13,5353,0.69423122756127,0
"BCA","Medulla","Blood",203,11138,0.509663156114875,0
"BCA","Medulla","Ependymal",436,15950,0.486570621122283,0
"BCA","Medulla","EpendymalTtr",395,14372,0.55045397988816,0
"BCA","Medulla","ExcludedAstrocyteImmune",6,4029,0.766984799602823,0
"BCA","Medulla","ExcludedAstrocyteNeurons",12,9533,0.653226346733251,0
"BCA","Medulla","ExcludedAstrocyteOligos",870,15101,0.521725511615651,0
"BCA","Medulla","ExcludedAstrocyteVascular",39,10505,0.56566470350096,0
"BCA","Medulla","ExcludedImmuneOligos",87,11684,0.568287656170611,0
"BCA","Medulla","ExcludedNeuronsOligos",254,15160,0.541335331885913,0
"BCA","Medulla","ExcludedOligosVascular",291,14318,0.548844898214409,0
"BCA","Medulla","Immune",544,13475,0.567292750615598,0
"BCA","Medulla","Neurons",2424,18384,0.500419543345552,0
"BCA","Medulla","Oligos",53155,19955,0.530441956407711,0
"BCA","Medulla","OligosOligosCycling",18,8012,0.603794815524666,0
"BCA","Medulla","Vascular",3724,17702,0.510625053309708,0
"BCA","Midbraindorsal","AstrocytesAstrocyte",5327,16740,0.454990066403406,0
"BCA","Midbraindorsal","Blood",44,6868,0.646754661585338,0
"BCA","Midbraindorsal","Ependymal",367,14979,0.477283213465317,0
"BCA","Midbraindorsal","ExcludedAstrocyteImmune",46,9765,0.573997689472709,0
"BCA","Midbraindorsal","ExcludedAstrocyteNeurons",115,13730,0.541984734511559,0
"BCA","Midbraindorsal","ExcludedAstrocyteOligos",609,14597,0.52442794444807,0
"BCA","Midbraindorsal","ExcludedAstrocyteVascular",86,12037,0.537056592953686,0
"BCA","Midbraindorsal","ExcludedImmuneOligos",76,11716,0.584557295662963,0
"BCA","Midbraindorsal","ExcludedNeuronsOligos",461,15826,0.554379169330074,0
"BCA","Midbraindorsal","ExcludedOligosVascular",105,12719,0.556461754153609,0
"BCA","Midbraindorsal","Immune",1764,15505,0.542214358885425,0
"BCA","Midbraindorsal","Neurons",8559,19363,0.519068106518313,0
"BCA","Midbraindorsal","Oligos",17613,18437,0.522123788137196,0
"BCA","Midbraindorsal","OligosOligosCycling",57,10248,0.503694670130477,0
"BCA","Midbraindorsal","Vascular",3708,17572,0.507470355809655,0
"BCA","Midbrainventral","AstrocytesAstrocyte",3488,15403,0.446095135164783,0
"BCA","Midbrainventral","AstrocytesBergmannglia",16,4832,0.653826793663135,0
"BCA","Midbrainventral","Blood",177,9695,0.500855096797078,0
"BCA","Midbrainventral","Ependymal",196,13647,0.482368754176052,0
"BCA","Midbrainventral","ExcludedAstrocyteImmune",30,7814,0.607006078449364,0
"BCA","Midbrainventral","ExcludedAstrocyteNeurons",54,12172,0.55820850690718,0
"BCA","Midbrainventral","ExcludedAstrocyteOligos",645,14384,0.514629431737754,0
"BCA","Midbrainventral","ExcludedAstrocyteVascular",59,10649,0.541937704225869,0
"BCA","Midbrainventral","ExcludedImmuneOligos",91,11351,0.560575383232324,0
"BCA","Midbrainventral","ExcludedNeuronsOligos",450,15415,0.528967695593838,0
"BCA","Midbrainventral","ExcludedOligosVascular",128,12296,0.544283801188166,0
"BCA","Midbrainventral","Immune",1344,14414,0.52307094946037,0
"BCA","Midbrainventral","Neurons",5348,18578,0.503584108581529,0
"BCA","Midbrainventral","NeuronsNeuronsCycling",2,642,0.967756431141246,0
"BCA","Midbrainventral","Oligos",22951,18333,0.514614595806016,0
"BCA","Midbrainventral","OligosOligosCycling",46,8958,0.526035754527499,0
"BCA","Midbrainventral","Vascular",2502,16361,0.493636280305367,0
"BCA","Olfactory","AstrocytesAstrocyte",2932,16183,0.488081506534682,0
"BCA","Olfactory","AstrocytesBergmannglia",23,6656,0.624335809151345,0
"BCA","Olfactory","AstrocytesOEC",2094,15455,0.49662370690317,0
"BCA","Olfactory","Blood",70,7443,0.593220707839663,0
"BCA","Olfactory","Ependymal",15,7093,0.663713569694229,0
"BCA","Olfactory","ExcludedAstrocyteImmune",13,7252,0.682016945621725,0
"BCA","Olfactory","ExcludedAstrocyteNeurons",43,11080,0.569004947348856,0
"BCA","Olfactory","ExcludedAstrocyteOligos",20,9258,0.65893816320291,0
"BCA","Olfactory","ExcludedAstrocyteVascular",19,8851,0.637462840143172,0
"BCA","Olfactory","ExcludedImmuneNeurons",9,8158,0.698326762214812,0
"BCA","Olfactory","ExcludedImmuneOligos",6,5426,0.767140332876556,0
"BCA","Olfactory","ExcludedNeuronsOligos",7,8109,0.725160304526626,0
"BCA","Olfactory","ExcludedOligosVascular",5,5684,0.791761031812982,0
"BCA","Olfactory","Immune",1079,14739,0.562259965571952,0
"BCA","Olfactory","Neurons",11675,18805,0.463223858680656,0
"BCA","Olfactory","NeuronsNeuronsCycling",66,11354,0.597776692139396,0
"BCA","Olfactory","Oligos",1388,15450,0.53963288684307,0
"BCA","Olfactory","OligosOligosCycling",9,5738,0.683493942196871,0
"BCA","Olfactory","Vascular",1163,16023,0.514001638605599,0
"BCA","Pons","AstrocytesAstrocyte",2082,15348,0.452219694931412,0
"BCA","Pons","Blood",50,7935,0.620487114483684,0
"BCA","Pons","Ependymal",195,14281,0.475693003612381,0
"BCA","Pons","EpendymalTtr",46,10545,0.585254129581089,0
"BCA","Pons","ExcludedAstrocyteImmune",10,5225,0.725174680802208,0
"BCA","Pons","ExcludedAstrocyteNeurons",12,9399,0.644048797694835,0
