"atlas","tissue","celltype","method","no_of_markers","loading_time","query_time"
"TM, FACS","Bladder","Bladder.basal cell of urothelium","scfind","1",0.853000000000009,0.021000000000015
"TM, FACS","Bladder","Bladder.basal cell of urothelium","sce","1",1.117,0.108000000000004
"TM, FACS","Bladder","Bladder.basal cell of urothelium","sce-sparseMatrix","1",0.863,0.11099999999999
"TM, FACS","Bladder","Bladder.basal cell of urothelium","seurat","1",1.251,0.0740000000000123
"TM, FACS","Bladder","Bladder.basal cell of urothelium","seurat-sparseMatrix","1",1.70400000000001,0.0449999999999875
"TM, FACS","Bladder","Bladder.basal cell of urothelium","loom-1000","1",0.103999999999985,0.0750000000000171
"TM, FACS","Bladder","Bladder.basal cell of urothelium","loom-5000","1",0.0660000000000025,0.0739999999999839
"TM, FACS","Bladder","Bladder.basal cell of urothelium","scfind","2",0.853000000000009,0.0209999999999866
"TM, FACS","Bladder","Bladder.basal cell of urothelium","sce","2",1.117,0.0600000000000023
"TM, FACS","Bladder","Bladder.basal cell of urothelium","sce-sparseMatrix","2",0.863,0.0840000000000032
"TM, FACS","Bladder","Bladder.basal cell of urothelium","seurat","2",1.251,0.27000000000001
"TM, FACS","Bladder","Bladder.basal cell of urothelium","seurat-sparseMatrix","2",1.70400000000001,0.193000000000012
"TM, FACS","Bladder","Bladder.basal cell of urothelium","loom-1000","2",0.103999999999985,0.0720000000000027
"TM, FACS","Bladder","Bladder.basal cell of urothelium","loom-5000","2",0.0660000000000025,0.0730000000000075
"TM, FACS","Bladder","Bladder.basal cell of urothelium","scfind","3",0.853000000000009,0.021000000000015
"TM, FACS","Bladder","Bladder.basal cell of urothelium","sce","3",1.117,0.0619999999999834
"TM, FACS","Bladder","Bladder.basal cell of urothelium","sce-sparseMatrix","3",0.863,0.100999999999999
"TM, FACS","Bladder","Bladder.basal cell of urothelium","seurat","3",1.251,0.287999999999982
"TM, FACS","Bladder","Bladder.basal cell of urothelium","seurat-sparseMatrix","3",1.70400000000001,0.27000000000001
"TM, FACS","Bladder","Bladder.basal cell of urothelium","loom-1000","3",0.103999999999985,0.0769999999999982
"TM, FACS","Bladder","Bladder.basal cell of urothelium","loom-5000","3",0.0660000000000025,0.560000000000002
"TM, FACS","Bladder","Bladder.basal cell of urothelium","scfind","4",0.853000000000009,0.021000000000015
"TM, FACS","Bladder","Bladder.basal cell of urothelium","sce","4",1.117,0.0579999999999927
"TM, FACS","Bladder","Bladder.basal cell of urothelium","sce-sparseMatrix","4",0.863,0.0859999999999843
"TM, FACS","Bladder","Bladder.basal cell of urothelium","seurat","4",1.251,0.345999999999975
"TM, FACS","Bladder","Bladder.basal cell of urothelium","seurat-sparseMatrix","4",1.70400000000001,0.349000000000018
"TM, FACS","Bladder","Bladder.basal cell of urothelium","loom-1000","4",0.103999999999985,0.135999999999996
"TM, FACS","Bladder","Bladder.basal cell of urothelium","loom-5000","4",0.0660000000000025,0.119
"TM, FACS","Bladder","Bladder.basal cell of urothelium","scfind","5",0.853000000000009,0.0270000000000152
"TM, FACS","Bladder","Bladder.basal cell of urothelium","sce","5",1.117,0.0699999999999932
"TM, FACS","Bladder","Bladder.basal cell of urothelium","sce-sparseMatrix","5",0.863,0.0989999999999895
"TM, FACS","Bladder","Bladder.basal cell of urothelium","seurat","5",1.251,0.465000000000003
"TM, FACS","Bladder","Bladder.basal cell of urothelium","seurat-sparseMatrix","5",1.70400000000001,0.448000000000008
"TM, FACS","Bladder","Bladder.basal cell of urothelium","loom-1000","5",0.103999999999985,0.0769999999999982
"TM, FACS","Bladder","Bladder.basal cell of urothelium","loom-5000","5",0.0660000000000025,0.0769999999999982
"TM, FACS","Bladder","Bladder.basal cell of urothelium","scfind","6",0.853000000000009,0.0200000000000102
"TM, FACS","Bladder","Bladder.basal cell of urothelium","sce","6",1.117,0.0589999999999975
"TM, FACS","Bladder","Bladder.basal cell of urothelium","sce-sparseMatrix","6",0.863,0.0859999999999843
"TM, FACS","Bladder","Bladder.basal cell of urothelium","seurat","6",1.251,0.50800000000001
"TM, FACS","Bladder","Bladder.basal cell of urothelium","seurat-sparseMatrix","6",1.70400000000001,0.507000000000005
"TM, FACS","Bladder","Bladder.basal cell of urothelium","loom-1000","6",0.103999999999985,0.0799999999999841
"TM, FACS","Bladder","Bladder.basal cell of urothelium","loom-5000","6",0.0660000000000025,0.0810000000000173
"TM, FACS","Bladder","Bladder.bladder cell","scfind","1",0.853000000000009,0.0180000000000007
"TM, FACS","Bladder","Bladder.bladder cell","sce","1",1.117,0.0589999999999975
"TM, FACS","Bladder","Bladder.bladder cell","sce-sparseMatrix","1",0.863,0.104000000000013
"TM, FACS","Bladder","Bladder.bladder cell","seurat","1",1.251,0.0459999999999923
"TM, FACS","Bladder","Bladder.bladder cell","seurat-sparseMatrix","1",1.70400000000001,0.0459999999999923
"TM, FACS","Bladder","Bladder.bladder cell","loom-1000","1",0.103999999999985,0.140999999999991
"TM, FACS","Bladder","Bladder.bladder cell","loom-5000","1",0.0660000000000025,0.14700000000002
"TM, FACS","Bladder","Bladder.bladder cell","scfind","2",0.853000000000009,0.0209999999999866
"TM, FACS","Bladder","Bladder.bladder cell","sce","2",1.117,0.0580000000000211
"TM, FACS","Bladder","Bladder.bladder cell","sce-sparseMatrix","2",0.863,0.0859999999999843
"TM, FACS","Bladder","Bladder.bladder cell","seurat","2",1.251,0.263000000000005
"TM, FACS","Bladder","Bladder.bladder cell","seurat-sparseMatrix","2",1.70400000000001,0.212999999999994
"TM, FACS","Bladder","Bladder.bladder cell","loom-1000","2",0.103999999999985,0.0740000000000123
"TM, FACS","Bladder","Bladder.bladder cell","loom-5000","2",0.0660000000000025,0.0729999999999791
"TM, FACS","Bladder","Bladder.bladder cell","scfind","3",0.853000000000009,0.0190000000000055
"TM, FACS","Bladder","Bladder.bladder cell","sce","3",1.117,0.0619999999999834
"TM, FACS","Bladder","Bladder.bladder cell","sce-sparseMatrix","3",0.863,0.108000000000004
"TM, FACS","Bladder","Bladder.bladder cell","seurat","3",1.251,0.269000000000005
"TM, FACS","Bladder","Bladder.bladder cell","seurat-sparseMatrix","3",1.70400000000001,0.269000000000005
"TM, FACS","Bladder","Bladder.bladder cell","loom-1000","3",0.103999999999985,0.45999999999998
"TM, FACS","Bladder","Bladder.bladder cell","loom-5000","3",0.0660000000000025,0.174000000000007
"TM, FACS","Bladder","Bladder.bladder cell","scfind","4",0.853000000000009,0.0190000000000055
"TM, FACS","Bladder","Bladder.bladder cell","sce","4",1.117,0.0579999999999927
"TM, FACS","Bladder","Bladder.bladder cell","sce-sparseMatrix","4",0.863,0.085000000000008
"TM, FACS","Bladder","Bladder.bladder cell","seurat","4",1.251,0.34899999999999
"TM, FACS","Bladder","Bladder.bladder cell","seurat-sparseMatrix","4",1.70400000000001,0.348000000000013
"TM, FACS","Bladder","Bladder.bladder cell","loom-1000","4",0.103999999999985,0.0879999999999654
"TM, FACS","Bladder","Bladder.bladder cell","loom-5000","4",0.0660000000000025,0.0719999999999459
"TM, FACS","Bladder","Bladder.bladder cell","scfind","5",0.853000000000009,0.0199999999999818
"TM, FACS","Bladder","Bladder.bladder cell","sce","5",1.117,0.0579999999999927
"TM, FACS","Bladder","Bladder.bladder cell","sce-sparseMatrix","5",0.863,0.0850000000000364
"TM, FACS","Bladder","Bladder.bladder cell","seurat","5",1.251,0.435999999999979
"TM, FACS","Bladder","Bladder.bladder cell","seurat-sparseMatrix","5",1.70400000000001,0.446000000000026
"TM, FACS","Bladder","Bladder.bladder cell","loom-1000","5",0.103999999999985,0.113
"TM, FACS","Bladder","Bladder.bladder cell","loom-5000","5",0.0660000000000025,0.0749999999999886
"TM, FACS","Bladder","Bladder.bladder cell","scfind","6",0.853000000000009,0.0169999999999959
"TM, FACS","Bladder","Bladder.bladder cell","sce","6",1.117,0.0580000000000496
"TM, FACS","Bladder","Bladder.bladder cell","sce-sparseMatrix","6",0.863,0.0849999999999795
"TM, FACS","Bladder","Bladder.bladder cell","seurat","6",1.251,0.514999999999986
