"Celltype","MarkerGenes","tp","fp","fn","precision","recall","f1"
"Heart.cardiac muscle cell","CellMarker",96.7692307692308,5110.38461538462,43.2307692307692,0.0736601577149346,0.691208795286142,0.128591807514357
"Heart.endothelial cell","CellMarker",1075.33333333333,5397.77777777778,192.666666666667,0.182385450436009,0.848054703738954,0.295582605732812
"Heart.fibroblast","CellMarker",1723.8,15710.9,363.2,0.111904576234519,0.825970293581486,0.19334131591022
"Kidney.endothelial cell","CellMarker",20.2525773195876,10213.7164948454,19.7474226804124,0.0029782261212624,0.50631443108672,0.0058891778687596
"Kidney.fibroblast","CellMarker",9.98484848484848,12869.5454545455,55.0151515151515,0.000800923685980679,0.153613052147469,0.00154840721921628
"Kidney.kidney collecting duct cell","CellMarker",11.5492957746479,7899.33802816901,32.4507042253521,0.0100690298389912,0.262483992731907,0.0157676443492856
"Kidney.kidney tubule cell","CellMarker",111.108108108108,5549.07207207207,149.891891891892,0.097460670207904,0.425701564983339,0.121856981418557
"Liver.B cell","CellMarker",18,3069,11,0.00583090400323272,0.620689630508423,0.0115532735362649
"Liver.endothelial cell of hepatic sinusoid","CellMarker",156.454545454545,3588.09090909091,39.5454545454545,0.0909778888929974,0.7982374754819,0.147819745947014
"Liver.hepatocyte","CellMarker",313.416666666667,6224.08333333333,85.5833333333333,0.135438810801134,0.785505433256427,0.20809488883242
"Liver.Kupffer cell","CellMarker",34.5,4656,16.5,0.0610448113875464,0.676470596343279,0.101038955152035
"Liver.natural killer cell","CellMarker",22,2233.66666666667,13,0.0216681566089392,0.628571440776189,0.0415990788800021
"Lung.ciliated cell","CellMarker",12.6666666666667,1134.71428571429,1.33333333333333,0.0331404919436734,0.904761907600221,0.0623424005406421
"Lung.Clara cell","CellMarker",7.80769230769231,5966.5,5.19230769230769,0.00826024705467996,0.600591722875834,0.0157298458507285
"Lung.dendritic cell","CellMarker",15,1092,54,0.0139125742134638,0.217391315847635,0.026151196914725
"Lung.endothelial cell","CellMarker",392.68345323741,8798.13669064748,345.31654676259,0.0587447588365498,0.53209139856932,0.0995552116643182
"Lung.epithelial cell","CellMarker",3.85775862068966,8110.28448275862,5.14224137931035,0.00129742353487143,0.428639855556961,0.00255309572009443
"Lung.macrophage","CellMarker",20.8333333333333,2489.66666666667,48.1666666666667,0.0142324808984995,0.3019323485593,0.0265433663735166
"Lung.T cell","CellMarker",32.7777777777778,5041.66666666667,22.2222222222222,0.0104478289981166,0.595959595508046,0.0202613208805107
"Mammary.basal cell","CellMarker",890.142857142857,8863.71428571429,384.857142857143,0.0828378144651651,0.69815126793193,0.147020948319031
"Mammary.luminal epithelial cell of mammary gland","CellMarker",414,17791.5,138,0.0246986607089639,0.749999970197678,0.0476040430366993
"Marrow.B cell","CellMarker",800.2,4689,1047.8,0.17454157685861,0.433008658885956,0.212026051990688
"Marrow.granulocyte","CellMarker",179.5,7935.5,200.5,0.0222372967982665,0.472368413582444,0.0424750186502934
"Marrow.hematopoietic stem cell","CellMarker",235.984555984556,6202.6833976834,1055.01544401544,0.0525993127572489,0.182792065163057,0.0652466617350675
"Marrow.monocyte","CellMarker",175.629032258065,9754.46774193548,148.370967741935,0.0273080778687501,0.542064909883324,0.0485329584241094
"Marrow.natural killer cell","CellMarker",58.5714285714286,11323.7142857143,77.4285714285714,0.0186199799978307,0.430672276499016,0.0343066971898744
"Marrow.neutrophil","CellMarker",350.75,9952.75,248.25,0.115523482410936,0.585559259168804,0.156937916297466
"Marrow.T cell","CellMarker",65.25,2807,76.75,0.0221187956631184,0.459507055580616,0.0419140686281025
"Muscle.skeletal muscle satellite cell","CellMarker",209,3714.66666666667,337,0.168808214832097,0.382783887364591,0.182946637893716
"Pancreas.pancreatic A cell","CellMarker",152,4314.14285714286,135,0.0581317640608177,0.529616719910077,0.0971399849347238
"Pancreas.pancreatic ductal cell","CellMarker",89,6548,42,0.0134096723049879,0.679389297962189,0.026300236582756
"Pancreas.type B pancreatic cell","CellMarker",263.666666666667,331.333333333333,147.333333333333,0.381853227814039,0.641524720937014,0.456347808241844
"Spleen.B cell","CellMarker",266.428571428571,5634.2380952381,971.571428571429,0.0440473936365119,0.215208861622072,0.0701312309219724
"Spleen.T cell","CellMarker",255.909090909091,4455.18181818182,147.090909090909,0.0692152499475262,0.635010142217983,0.12201062369753
"Thymus.T cell","CellMarker",970.5,2436.66666666667,279.5,0.355805205802123,0.776399999856949,0.480433035641909
"Heart.cardiac muscle cell","scfind",99.3846153846154,74.7692307692308,40.6153846153846,0.596023279886979,0.709890104257143,0.637363479687617
"Heart.endothelial cell","scfind",870.666666666667,1765.33333333333,397.333333333333,0.356913271877501,0.686645643578635,0.452420208189223
"Heart.fibroblast","scfind",1284.4,2065.1,802.6,0.438724195957184,0.615428844094276,0.479908221960068
"Kidney.endothelial cell","scfind",6.93298969072165,929.711340206186,33.0670103092784,0.0174008473542701,0.17332474074144,0.0193137238810281
"Kidney.fibroblast","scfind",11.5606060606061,396.772727272727,53.4393939393939,0.045519171847087,0.177855477936453,0.0505946145082513
"Kidney.kidney collecting duct cell","scfind",14.7887323943662,403.676056338028,29.2112676056338,0.066382054213277,0.336107552051544,0.0860826866307729
"Kidney.kidney tubule cell","scfind",86.2162162162162,477.09009009009,174.783783783784,0.223857173175962,0.330330330240834,0.224997480039124
"Liver.B cell","scfind",2,33,27,0.0571428574621677,0.0689655169844627,0.0625
"Liver.endothelial cell of hepatic sinusoid","scfind",121.727272727273,453,74.2727272727273,0.23613058978861,0.621057504957372,0.313376379283992
"Liver.hepatocyte","scfind",295,96.5,104,0.762630308667819,0.739348366856575,0.746495063106219
"Liver.Kupffer cell","scfind",34.5,134.75,16.5,0.213507678359747,0.676470592617989,0.312914080917835
"Liver.natural killer cell","scfind",18.6666666666667,316.333333333333,16.3333333333333,0.0555603255828222,0.533333341280619,0.100063636898994
"Lung.ciliated cell","scfind",10.6666666666667,60.4285714285714,3.33333333333333,0.159048050996803,0.761904770419711,0.257018164509819
"Lung.Clara cell","scfind",5.11538461538461,173.384615384615,7.88461538461539,0.0326369365390677,0.393491129175975,0.0541266964461941
"Lung.dendritic cell","scfind",45,383,24,0.12904940918088,0.652173906564713,0.20559649169445
"Lung.endothelial cell","scfind",381.827338129496,3532.25899280576,356.172661870504,0.118019914321548,0.517381215749456,0.175230205755868
"Lung.epithelial cell","scfind",4.12931034482759,226.659482758621,4.87068965517241,0.028646725205833,0.458812271341168,0.0488080559057537
"Lung.macrophage","scfind",22.3333333333333,227.833333333333,46.6666666666667,0.0950668329993884,0.323671489953995,0.138418771326542
"Lung.T cell","scfind",11.1111111111111,378.333333333333,43.8888888888889,0.0433098088122076,0.202020198934608,0.0533563622997867
"Mammary.basal cell","scfind",899.857142857143,705.285714285714,375.142857142857,0.627896044935499,0.705770313739777,0.622001963002341
"Mammary.luminal epithelial cell of mammary gland","scfind",314,255,238,0.560291051864624,0.568840563297272,0.555368423461914
"Marrow.B cell","scfind",1421.1,1894.8,426.9,0.434047424793243,0.768993508815765,0.550456255674362
"Marrow.granulocyte","scfind",256.5,407.5,123.5,0.40598052740097,0.674999982118607,0.494963228702545
"Marrow.hematopoietic stem cell","scfind",607.320463320463,2971.54826254826,683.679536679537,0.209481260634988,0.470426384431515,0.259162980904911
"Marrow.monocyte","scfind",159.048387096774,1580.25806451613,164.951612903226,0.104487125851935,0.49089008305342,0.162550089820739
"Marrow.natural killer cell","scfind",77.8571428571429,250.428571428571,58.1428571428571,0.243246121065957,0.572478988340923,0.333520306008203
"Marrow.neutrophil","scfind",407.9375,605.3125,191.0625,0.447942843660712,0.681030880659819,0.509856110438704
"Marrow.T cell","scfind",49.5,354.25,92.5,0.123437199741602,0.348591551184654,0.179935716092587
"Muscle.skeletal muscle satellite cell","scfind",363.833333333333,682.666666666667,182.166666666667,0.388066694140434,0.666361411412557,0.465406944354375
"Pancreas.pancreatic A cell","scfind",199.571428571429,220.857142857143,87.4285714285714,0.508882301194327,0.695370827402387,0.561732998916081
"Pancreas.pancreatic ductal cell","scfind",56,44,75,0.560000002384186,0.427480936050415,0.484848499298096
"Pancreas.type B pancreatic cell","scfind",383.333333333333,162.333333333333,27.6666666666667,0.709932128588359,0.932684520880381,0.804096480210622
"Spleen.B cell","scfind",824.571428571429,2536,413.428571428571,0.257926042590822,0.66605123309862,0.357918915294466
"Spleen.T cell","scfind",224.363636363636,1541.90909090909,178.636363636364,0.14313212104819,0.556733587926084,0.20568171414462
"Thymus.T cell","scfind",993,1258.16666666667,257,0.46156819164753,0.794399996598562,0.568561414877574
"Heart.cardiac muscle cell","Seurat",102.769230769231,1684.61538461538,37.2307692307692,0.0953409825093471,0.734065933869435,0.16505023263968
