"type","no_of_genes","score","query"
"precision","1",0.133815551537071,"AND query"
"recall","1",0.747474747474748,"AND query"
"precision, tissue","1",0.22289156626506,"AND query"
"recall, tissue","1",0.747474747474748,"AND query"
"precision","2",0.248062015503876,"AND query"
"recall","2",0.323232323232323,"AND query"
"precision, tissue","2",0.258064516129032,"AND query"
"recall, tissue","2",0.323232323232323,"AND query"
"precision","3",0.351351351351351,"AND query"
"recall","3",0.131313131313131,"AND query"
"precision, tissue","3",0.351351351351351,"AND query"
"recall, tissue","3",0.131313131313131,"AND query"
"precision","4",0.351351351351351,"AND query"
"recall","4",0.131313131313131,"AND query"
"precision, tissue","4",0.351351351351351,"AND query"
"recall, tissue","4",0.131313131313131,"AND query"
"precision","5",0.344827586206897,"AND query"
"recall","5",0.101010101010101,"AND query"
"precision, tissue","5",0.344827586206897,"AND query"
"recall, tissue","5",0.101010101010101,"AND query"
"precision","1",0.659159159159159,"AND query"
"recall","1",0.825187969924812,"AND query"
"precision, tissue","1",0.95021645021645,"AND query"
"recall, tissue","1",0.825187969924812,"AND query"
"precision","2",0.945238095238095,"AND query"
"recall","2",0.746240601503759,"AND query"
"precision, tissue","2",0.970660146699266,"AND query"
"recall, tissue","2",0.746240601503759,"AND query"
"precision","3",0.965432098765432,"AND query"
"recall","3",0.734962406015038,"AND query"
"precision, tissue","3",0.975062344139651,"AND query"
"recall, tissue","3",0.734962406015038,"AND query"
"precision","4",0.967005076142132,"AND query"
"recall","4",0.716165413533835,"AND query"
"precision, tissue","4",0.974424552429668,"AND query"
"recall, tissue","4",0.716165413533835,"AND query"
"precision","5",0.966751918158568,"AND query"
"recall","5",0.710526315789474,"AND query"
"precision, tissue","5",0.974226804123711,"AND query"
"recall, tissue","5",0.710526315789474,"AND query"
"precision","1",0.7996632996633,"AND query"
"recall","1",0.724085365853659,"AND query"
"precision, tissue","1",0.979381443298969,"AND query"
"recall, tissue","1",0.724085365853659,"AND query"
"precision","2",0.974093264248705,"AND query"
"recall","2",0.573170731707317,"AND query"
"precision, tissue","2",0.989473684210526,"AND query"
"recall, tissue","2",0.573170731707317,"AND query"
"precision","3",0.962566844919786,"AND query"
"recall","3",0.274390243902439,"AND query"
"precision, tissue","3",0.978260869565217,"AND query"
"recall, tissue","3",0.274390243902439,"AND query"
"precision","4",0.96,"AND query"
"recall","4",0.182926829268293,"AND query"
"precision, tissue","4",0.967741935483871,"AND query"
"recall, tissue","4",0.182926829268293,"AND query"
"precision","5",0.96,"AND query"
"recall","5",0.182926829268293,"AND query"
"precision, tissue","5",0.967741935483871,"AND query"
"recall, tissue","5",0.182926829268293,"AND query"
"precision","1",0.0338983050847458,"AND query"
"recall","1",0.166666666666667,"AND query"
"precision, tissue","1",0.666666666666667,"AND query"
"recall, tissue","1",0.166666666666667,"AND query"
"precision","1",0.836100131752306,"AND query"
"recall","1",0.732963732963733,"AND query"
"precision, tissue","1",0.99874095058231,"AND query"
"recall, tissue","1",0.732963732963733,"AND query"
"precision","2",0.953389830508475,"AND query"
"recall","2",0.727650727650728,"AND query"
"precision, tissue","2",0.998731769181991,"AND query"
"recall, tissue","2",0.727650727650728,"AND query"
"precision","3",0.990245805696449,"AND query"
"recall","3",0.586278586278586,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.586278586278586,"AND query"
"precision","4",0.991259435836313,"AND query"
"recall","4",0.576345576345576,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.576345576345576,"AND query"
"precision","5",0.991216512955643,"AND query"
"recall","5",0.521367521367521,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.521367521367521,"AND query"
"precision","1",0.565972222222222,"AND query"
"recall","1",0.80893300248139,"AND query"
"precision, tissue","1",0.698072805139186,"AND query"
"recall, tissue","1",0.80893300248139,"AND query"
"precision","2",0.883268482490272,"AND query"
"recall","2",0.563275434243176,"AND query"
"precision, tissue","2",0.893700787401575,"AND query"
"recall, tissue","2",0.563275434243176,"AND query"
"precision","3",0.922680412371134,"AND query"
"recall","3",0.444168734491315,"AND query"
"precision, tissue","3",0.927461139896373,"AND query"
"recall, tissue","3",0.444168734491315,"AND query"
"precision","4",0.923076923076923,"AND query"
"recall","4",0.387096774193548,"AND query"
"precision, tissue","4",0.928571428571429,"AND query"
"recall, tissue","4",0.387096774193548,"AND query"
"precision","5",0.922480620155039,"AND query"
"recall","5",0.295285359801489,"AND query"
"precision, tissue","5",0.9296875,"AND query"
"recall, tissue","5",0.295285359801489,"AND query"
"precision","1",0.150793650793651,"AND query"
"recall","1",0.633333333333333,"AND query"
"precision, tissue","1",0.296875,"AND query"
"recall, tissue","1",0.633333333333333,"AND query"
"precision","2",0.894736842105263,"AND query"
"recall","2",0.566666666666667,"AND query"
"precision, tissue","2",0.944444444444444,"AND query"
"recall, tissue","2",0.566666666666667,"AND query"
"precision","3",0.933333333333333,"AND query"
"recall","3",0.466666666666667,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.466666666666667,"AND query"
"precision","4",1,"AND query"
"recall","4",0.4,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.4,"AND query"
"precision","5",1,"AND query"
"recall","5",0.4,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.4,"AND query"
"precision","1",0.378289473684211,"AND query"
"recall","1",0.871212121212121,"AND query"
"precision, tissue","1",0.833333333333333,"AND query"
"recall, tissue","1",0.871212121212121,"AND query"
"precision","2",0.708955223880597,"AND query"
"recall","2",0.71969696969697,"AND query"
"precision, tissue","2",0.95,"AND query"
"recall, tissue","2",0.71969696969697,"AND query"
"precision","3",0.842105263157895,"AND query"
"recall","3",0.363636363636364,"AND query"
"precision, tissue","3",0.979591836734694,"AND query"
"recall, tissue","3",0.363636363636364,"AND query"
"precision","4",1,"AND query"
"recall","4",0.28030303030303,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.28030303030303,"AND query"
"precision","5",1,"AND query"
"recall","5",0.234848484848485,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.234848484848485,"AND query"
"precision","1",0.782222222222222,"AND query"
"recall","1",0.5632,"AND query"
"precision, tissue","1",0.96969696969697,"AND query"
"recall, tissue","1",0.5632,"AND query"
"precision","2",0.966386554621849,"AND query"
"recall","2",0.552,"AND query"
"precision, tissue","2",0.971830985915493,"AND query"
"recall, tissue","2",0.552,"AND query"
"precision","3",0.966666666666667,"AND query"
"recall","3",0.464,"AND query"
"precision, tissue","3",0.966666666666667,"AND query"
"recall, tissue","3",0.464,"AND query"
"precision","4",0.949152542372881,"AND query"
"recall","4",0.2688,"AND query"
"precision, tissue","4",0.949152542372881,"AND query"
"recall, tissue","4",0.2688,"AND query"
"precision","5",0.938775510204082,"AND query"
"recall","5",0.2208,"AND query"
"precision, tissue","5",0.938775510204082,"AND query"
"recall, tissue","5",0.2208,"AND query"
"precision","1",0.752941176470588,"AND query"
"recall","1",0.653061224489796,"AND query"
"precision, tissue","1",0.888888888888889,"AND query"
"recall, tissue","1",0.653061224489796,"AND query"
"precision","2",0.963636363636364,"AND query"
"recall","2",0.540816326530612,"AND query"
"precision, tissue","2",0.972477064220184,"AND query"
"recall, tissue","2",0.540816326530612,"AND query"
"precision","3",0.962264150943396,"AND query"
"recall","3",0.520408163265306,"AND query"
"precision, tissue","3",0.971428571428571,"AND query"
"recall, tissue","3",0.520408163265306,"AND query"
"precision","4",0.958333333333333,"AND query"
"recall","4",0.352040816326531,"AND query"
"precision, tissue","4",0.958333333333333,"AND query"
"recall, tissue","4",0.352040816326531,"AND query"
"precision","5",0.96551724137931,"AND query"
"recall","5",0.285714285714286,"AND query"
"precision, tissue","5",0.96551724137931,"AND query"
"recall, tissue","5",0.285714285714286,"AND query"
"precision","1",0.325581395348837,"AND query"
"recall","1",0.388888888888889,"AND query"
"precision, tissue","1",0.636363636363636,"AND query"
"recall, tissue","1",0.388888888888889,"AND query"
"precision","2",0.833333333333333,"AND query"
"recall","2",0.277777777777778,"AND query"
"precision, tissue","2",0.833333333333333,"AND query"
"recall, tissue","2",0.277777777777778,"AND query"
"precision","3",1,"AND query"
"recall","3",0.277777777777778,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.277777777777778,"AND query"
"precision","4",1,"AND query"
"recall","4",0.166666666666667,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.166666666666667,"AND query"
"precision","5",1,"AND query"
"recall","5",0.166666666666667,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.166666666666667,"AND query"
"precision","1",0.743322475570033,"AND query"
"recall","1",0.962057335581788,"AND query"
"precision, tissue","1",0.934479934479934,"AND query"
"recall, tissue","1",0.962057335581788,"AND query"
"precision","2",0.93369663941871,"AND query"
"recall","2",0.866779089376054,"AND query"
"precision, tissue","2",0.975332068311195,"AND query"
"recall, tissue","2",0.866779089376054,"AND query"
"precision","3",0.966773847802787,"AND query"
"recall","3",0.760539629005059,"AND query"
"precision, tissue","3",0.982570806100218,"AND query"
"recall, tissue","3",0.760539629005059,"AND query"
"precision","4",0.975990396158463,"AND query"
"recall","4",0.685497470489039,"AND query"
"precision, tissue","4",0.985454545454545,"AND query"
"recall, tissue","4",0.685497470489039,"AND query"
"precision","5",0.975578406169666,"AND query"
"recall","5",0.639966273187184,"AND query"
"precision, tissue","5",0.98443579766537,"AND query"
"recall, tissue","5",0.639966273187184,"AND query"
"precision","1",0.729166666666667,"AND query"
"recall","1",0.866336633663366,"AND query"
"precision, tissue","1",0.833333333333333,"AND query"
"recall, tissue","1",0.866336633663366,"AND query"
