"V1","V3","V4"
"GO:0008121","ubiquinol-cytochrome-c reductase activity","GO:0003674","molecular function"
"GO:0016651","oxidoreductase activity, acting on NAD(P)H","GO:0003674","molecular function"
"GO:0015078","proton transmembrane transporter activity","GO:0003674","molecular function"
"GO:0005044","scavenger receptor activity","GO:0003674","molecular function"
"GO:0043027","cysteine-type endopeptidase inhibitor activity involved in apoptotic process","GO:0003674","molecular function"
"GO:0005201","extracellular matrix structural constituent","GO:0003674","molecular function"
"GO:0005452","inorganic anion exchanger activity","GO:0003674","molecular function"
"GO:0015143","urate transmembrane transporter activity","GO:0003674","molecular function"
"GO:0015347","sodium-independent organic anion transmembrane transporter activity","GO:0003674","molecular function"
"GO:0015301","anion:anion antiporter activity","GO:0003674","molecular function"
"GO:0008514","organic anion transmembrane transporter activity","GO:0003674","molecular function"
"GO:0004896","cytokine receptor activity","GO:0003674","molecular function"
"GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","GO:0003674","molecular function"
"GO:0004029","aldehyde dehydrogenase (NAD) activity","GO:0003674","molecular function"
"GO:0004030","aldehyde dehydrogenase [NAD(P)+] activity","GO:0003674","molecular function"
"GO:0015288","porin activity","GO:0003674","molecular function"
"GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity","GO:0003674","molecular function"
"GO:0061575","cyclin-dependent protein serine/threonine kinase activator activity","GO:0003674","molecular function"
"GO:0097027","ubiquitin-protein transferase activator activity","GO:0003674","molecular function"
"GO:0004601","peroxidase activity","GO:0003674","molecular function"
"GO:0004602","glutathione peroxidase activity","GO:0003674","molecular function"
"GO:0005337","nucleoside transmembrane transporter activity","GO:0003674","molecular function"
"GO:0019888","protein phosphatase regulator activity","GO:0003674","molecular function"
"GO:0015379","potassium:chloride symporter activity","GO:0003674","molecular function"
"GO:0001671","ATPase activator activity","GO:0003674","molecular function"
"GO:0004812","aminoacyl-tRNA ligase activity","GO:0003674","molecular function"
"GO:0015075","ion transmembrane transporter activity","GO:0003674","molecular function"
"GO:0015137","citrate transmembrane transporter activity","GO:0003674","molecular function"
"GO:0016849","phosphorus-oxygen lyase activity","GO:0003674","molecular function"
"GO:0004383","guanylate cyclase activity","GO:0003674","molecular function"
"GO:0004181","metallocarboxypeptidase activity","GO:0003674","molecular function"
"GO:0004180","carboxypeptidase activity","GO:0003674","molecular function"
"GO:0004185","serine-type carboxypeptidase activity","GO:0003674","molecular function"
"GO:0010521","telomerase inhibitor activity","GO:0003674","molecular function"
"GO:0015267","channel activity","GO:0003674","molecular function"
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","GO:0003674","molecular function"
"GO:0003854","3-beta-hydroxy-delta5-steroid dehydrogenase activity","GO:0003674","molecular function"
"GO:0004769","steroid delta-isomerase activity","GO:0003674","molecular function"
"GO:0102294","cholesterol dehydrogenase activity","GO:0003674","molecular function"
"GO:0035014","phosphatidylinositol 3-kinase regulator activity","GO:0003674","molecular function"
"GO:0046935","1-phosphatidylinositol-3-kinase regulator activity","GO:0003674","molecular function"
"GO:0046873","metal ion transmembrane transporter activity","GO:0003674","molecular function"
"GO:0005385","zinc ion transmembrane transporter activity","GO:0003674","molecular function"
"GO:0016209","antioxidant activity","GO:0003674","molecular function"
"GO:0008379","thioredoxin peroxidase activity","GO:0003674","molecular function"
"GO:0016805","dipeptidase activity","GO:0003674","molecular function"
"GO:0016493","C-C chemokine receptor activity","GO:0003674","molecular function"
"GO:0004950","chemokine receptor activity","GO:0003674","molecular function"
"GO:0005245","voltage-gated calcium channel activity","GO:0003674","molecular function"
"GO:0008235","metalloexopeptidase activity","GO:0003674","molecular function"
"GO:0008239","dipeptidyl-peptidase activity","GO:0003674","molecular function"
"GO:0008238","exopeptidase activity","GO:0003674","molecular function"
"GO:0017150","tRNA dihydrouridine synthase activity","GO:0003674","molecular function"
"GO:0015057","thrombin-activated receptor activity","GO:0003674","molecular function"
"GO:0016504","peptidase activator activity","GO:0003674","molecular function"
"GO:0004768","stearoyl-CoA 9-desaturase activity","GO:0003674","molecular function"
"GO:0005272","sodium channel activity","GO:0003674","molecular function"
"GO:0015280","ligand-gated sodium channel activity","GO:0003674","molecular function"
"GO:0015187","glycine transmembrane transporter activity","GO:0003674","molecular function"
"GO:0015279","store-operated calcium channel activity","GO:0003674","molecular function"
"GO:0034450","ubiquitin-ubiquitin ligase activity","GO:0003674","molecular function"
"GO:0008509","anion transmembrane transporter activity","GO:0003674","molecular function"
"GO:0015106","bicarbonate transmembrane transporter activity","GO:0003674","molecular function"
"GO:0015252","proton channel activity","GO:0003674","molecular function"
"GO:0015278","calcium-release channel activity","GO:0003674","molecular function"
"GO:0019869","chloride channel inhibitor activity","GO:0003674","molecular function"
"GO:0030295","protein kinase activator activity","GO:0003674","molecular function"
"GO:0019870","potassium channel inhibitor activity","GO:0003674","molecular function"
"GO:0030291","protein serine/threonine kinase inhibitor activity","GO:0003674","molecular function"
"GO:0005031","tumor necrosis factor-activated receptor activity","GO:0003674","molecular function"
"GO:0003707","steroid hormone receptor activity","GO:0003674","molecular function"
"GO:0004879","nuclear receptor activity","GO:0003674","molecular function"
"GO:0004197","cysteine-type endopeptidase activity","GO:0003674","molecular function"
"GO:0003916","DNA topoisomerase activity","GO:0003674","molecular function"
"GO:0003917","DNA topoisomerase type I activity","GO:0003674","molecular function"
"GO:0016019","peptidoglycan receptor activity","GO:0003674","molecular function"
"GO:0034648","histone demethylase activity (H3-dimethyl-K4 specific)","GO:0003674","molecular function"
"GO:0015026","coreceptor activity","GO:0003674","molecular function"
"GO:0097643","amylin receptor activity","GO:0003674","molecular function"
"GO:0004983","neuropeptide Y receptor activity","GO:0003674","molecular function"
"GO:0001601","peptide YY receptor activity","GO:0003674","molecular function"
"GO:0001602","pancreatic polypeptide receptor activity","GO:0003674","molecular function"
"GO:0030280","structural constituent of epidermis","GO:0003674","molecular function"
"GO:0030368","interleukin-17 receptor activity","GO:0003674","molecular function"
"GO:0005314","high-affinity glutamate transmembrane transporter activity","GO:0003674","molecular function"
"GO:0046961","proton-transporting ATPase activity, rotational mechanism","GO:0003674","molecular function"
"GO:0008553","proton-exporting ATPase activity, phosphorylative mechanism","GO:0003674","molecular function"
"GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","GO:0003674","molecular function"
"GO:0004985","opioid receptor activity","GO:0003674","molecular function"
"GO:0004864","protein phosphatase inhibitor activity","GO:0003674","molecular function"
"GO:0004865","protein serine/threonine phosphatase inhibitor activity","GO:0003674","molecular function"
"GO:0005328","neurotransmitter:sodium symporter activity","GO:0003674","molecular function"
"GO:0015193","L-proline transmembrane transporter activity","GO:0003674","molecular function"
"GO:0004177","aminopeptidase activity","GO:0003674","molecular function"
"GO:0061608","nuclear import signal receptor activity","GO:0003674","molecular function"
"GO:0016702","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","GO:0003674","molecular function"
"GO:0070915","lysophosphatidic acid receptor activity","GO:0003674","molecular function"
"GO:0015651","quaternary ammonium group transmembrane transporter activity","GO:0003674","molecular function"
"GO:0008392","arachidonic acid epoxygenase activity","GO:0003674","molecular function"
"GO:0008395","steroid hydroxylase activity","GO:0003674","molecular function"
"GO:0015450","P-P-bond-hydrolysis-driven protein transmembrane transporter activity","GO:0003674","molecular function"
"GO:0016717","oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water","GO:0003674","molecular function"
"GO:0005254","chloride channel activity","GO:0003674","molecular function"
"GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","GO:0003674","molecular function"
"GO:0008329","signaling pattern recognition receptor activity","GO:0003674","molecular function"
"GO:0005432","calcium:sodium antiporter activity","GO:0003674","molecular function"
"GO:0004861","cyclin-dependent protein serine/threonine kinase inhibitor activity","GO:0003674","molecular function"
"GO:0019210","kinase inhibitor activity","GO:0003674","molecular function"
"GO:0004994","somatostatin receptor activity","GO:0003674","molecular function"
"GO:0032896","palmitoyl-CoA 9-desaturase activity","GO:0003674","molecular function"
"GO:0043539","protein serine/threonine kinase activator activity","GO:0003674","molecular function"
"GO:0004866","endopeptidase inhibitor activity","GO:0003674","molecular function"
"GO:0004869","cysteine-type endopeptidase inhibitor activity","GO:0003674","molecular function"
"GO:0051575","5'-deoxyribose-5-phosphate lyase activity","GO:0003674","molecular function"
"GO:0015035","protein disulfide oxidoreductase activity","GO:0003674","molecular function"
"GO:0030371","translation repressor activity","GO:0003674","molecular function"
"GO:0016641","oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor","GO:0003674","molecular function"
"GO:0004720","protein-lysine 6-oxidase activity","GO:0003674","molecular function"
"GO:0031386","protein tag","GO:0003674","molecular function"
"GO:0004791","thioredoxin-disulfide reductase activity","GO:0003674","molecular function"
"GO:0016671","oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","GO:0003674","molecular function"
"GO:0047134","protein-disulfide reductase activity","GO:0003674","molecular function"
"GO:0015036","disulfide oxidoreductase activity","GO:0003674","molecular function"
"GO:0015101","organic cation transmembrane transporter activity","GO:0003674","molecular function"
"GO:0015269","calcium-activated potassium channel activity","GO:0003674","molecular function"
"GO:0022841","potassium ion leak channel activity","GO:0003674","molecular function"
"GO:0015271","outward rectifier potassium channel activity","GO:0003674","molecular function"
"GO:0016868","intramolecular transferase activity, phosphotransferases","GO:0003674","molecular function"
"GO:0003755","peptidyl-prolyl cis-trans isomerase activity","GO:0003674","molecular function"
"GO:0004784","superoxide dismutase activity","GO:0003674","molecular function"
"GO:0070330","aromatase activity","GO:0003674","molecular function"
"GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","GO:0003674","molecular function"
"GO:0008381","mechanosensitive ion channel activity","GO:0003674","molecular function"
"GO:0004190","aspartic-type endopeptidase activity","GO:0003674","molecular function"
"GO:0042813","Wnt-activated receptor activity","GO:0003674","molecular function"
"GO:0061133","endopeptidase activator activity","GO:0003674","molecular function"
"GO:0015220","choline transmembrane transporter activity","GO:0003674","molecular function"
"GO:0004322","ferroxidase activity","GO:0003674","molecular function"
"GO:0099104","potassium channel activator activity","GO:0003674","molecular function"
"GO:0071614","linoleic acid epoxygenase activity","GO:0003674","molecular function"
"GO:0008948","oxaloacetate decarboxylase activity","GO:0003674","molecular function"
"GO:0097200","cysteine-type endopeptidase activity involved in execution phase of apoptosis","GO:0003674","molecular function"
"GO:0097153","cysteine-type endopeptidase activity involved in apoptotic process","GO:0003674","molecular function"
"GO:0009982","pseudouridine synthase activity","GO:0003674","molecular function"
"GO:0004813","alanine-tRNA ligase activity","GO:0003674","molecular function"
"GO:0004198","calcium-dependent cysteine-type endopeptidase activity","GO:0003674","molecular function"
"GO:0005246","calcium channel regulator activity","GO:0003674","molecular function"
"GO:0005227","calcium activated cation channel activity","GO:0003674","molecular function"
"GO:0097493","structural molecule activity conferring elasticity","GO:0003674","molecular function"
"GO:0019789","SUMO transferase activity","GO:0003674","molecular function"
"GO:0061665","SUMO ligase activity","GO:0003674","molecular function"
"GO:0005275","amine transmembrane transporter activity","GO:0003674","molecular function"
"GO:0015297","antiporter activity","GO:0003674","molecular function"
"GO:0003756","protein disulfide isomerase activity","GO:0003674","molecular function"
"GO:0016972","thiol oxidase activity","GO:0003674","molecular function"
"GO:0005049","nuclear export signal receptor activity","GO:0003674","molecular function"
"GO:0008391","arachidonic acid monooxygenase activity","GO:0003674","molecular function"
"GO:0050051","leukotriene-B4 20-monooxygenase activity","GO:0003674","molecular function"
"GO:0008331","high voltage-gated calcium channel activity","GO:0003674","molecular function"
"GO:0008307","structural constituent of muscle","GO:0003674","molecular function"
"GO:0004969","histamine receptor activity","GO:0003674","molecular function"
"GO:0015248","sterol transporter activity","GO:0003674","molecular function"
"GO:0008324","cation transmembrane transporter activity","GO:0003674","molecular function"
"GO:0019534","toxin transmembrane transporter activity","GO:0003674","molecular function"
"GO:0005251","delayed rectifier potassium channel activity","GO:0003674","molecular function"
"GO:0015095","magnesium ion transmembrane transporter activity","GO:0003674","molecular function"
"GO:0004935","adrenergic receptor activity","GO:0003674","molecular function"
"GO:0015459","potassium channel regulator activity","GO:0003674","molecular function"
"GO:0005261","cation channel activity","GO:0003674","molecular function"
"GO:0017056","structural constituent of nuclear pore","GO:0003674","molecular function"
"GO:0072542","protein phosphatase activator activity","GO:0003674","molecular function"
"GO:0003906","DNA-(apurinic or apyrimidinic site) endonuclease activity","GO:0003674","molecular function"
"GO:0140078","class I DNA-(apurinic or apyrimidinic site) endonuclease activity","GO:0003674","molecular function"
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","GO:0003674","molecular function"
"GO:0004854","xanthine dehydrogenase activity","GO:0003674","molecular function"
"GO:0004857","enzyme inhibitor activity","GO:0003674","molecular function"
"GO:0016500","protein-hormone receptor activity","GO:0003674","molecular function"
"GO:0019787","ubiquitin-like protein transferase activity","GO:0003674","molecular function"
"GO:0005319","lipid transporter activity","GO:0003674","molecular function"
"GO:0016247","channel regulator activity","GO:0003674","molecular function"
"GO:0016176","superoxide-generating NADPH oxidase activator activity","GO:0003674","molecular function"
"GO:0004634","phosphopyruvate hydratase activity","GO:0003674","molecular function"
"GO:0008527","taste receptor activity","GO:0003674","molecular function"
"GO:0005381","iron ion transmembrane transporter activity","GO:0003674","molecular function"
"GO:0015093","ferrous iron transmembrane transporter activity","GO:0003674","molecular function"
"GO:0004165","dodecenoyl-CoA delta-isomerase activity","GO:0003674","molecular function"
"GO:0004300","enoyl-CoA hydratase activity","GO:0003674","molecular function"
"GO:0005230","extracellular ligand-gated ion channel activity","GO:0003674","molecular function"
"GO:0015464","acetylcholine receptor activity","GO:0003674","molecular function"
"GO:0015276","ligand-gated ion channel activity","GO:0003674","molecular function"
"GO:0017154","semaphorin receptor activity","GO:0003674","molecular function"
"GO:0000150","recombinase activity","GO:0003674","molecular function"
"GO:0005243","gap junction channel activity","GO:0003674","molecular function"
"GO:0004449","isocitrate dehydrogenase (NAD+) activity","GO:0003674","molecular function"
"GO:0008191","metalloendopeptidase inhibitor activity","GO:0003674","molecular function"
"GO:0008320","protein transmembrane transporter activity","GO:0003674","molecular function"
"GO:0101020","estrogen 16-alpha-hydroxylase activity","GO:0003674","molecular function"
"GO:0019911","structural constituent of myelin sheath","GO:0003674","molecular function"
"GO:0016831","carboxy-lyase activity","GO:0003674","molecular function"
"GO:0036374","glutathione hydrolase activity","GO:0003674","molecular function"
"GO:0033743","peptide-methionine (R)-S-oxide reductase activity","GO:0003674","molecular function"
"GO:0015125","bile acid transmembrane transporter activity","GO:0003674","molecular function"
"GO:0035673","oligopeptide transmembrane transporter activity","GO:0003674","molecular function"
"GO:0008271","secondary active sulfate transmembrane transporter activity","GO:0003674","molecular function"
"GO:0015116","sulfate transmembrane transporter activity","GO:0003674","molecular function"
"GO:0019531","oxalate transmembrane transporter activity","GO:0003674","molecular function"
"GO:0030375","thyroid hormone receptor coactivator activity","GO:0003674","molecular function"
"GO:0004745","retinol dehydrogenase activity","GO:0003674","molecular function"
"GO:0008603","cAMP-dependent protein kinase regulator activity","GO:0003674","molecular function"
"GO:0003958","NADPH-hemoprotein reductase activity","GO:0003674","molecular function"
"GO:0005229","intracellular calcium activated chloride channel activity","GO:0003674","molecular function"
"GO:0019887","protein kinase regulator activity","GO:0003674","molecular function"
"GO:0005095","GTPase inhibitor activity","GO:0003674","molecular function"
"GO:0015171","amino acid transmembrane transporter activity","GO:0003674","molecular function"
"GO:0004704","NF-kappaB-inducing kinase activity","GO:0003674","molecular function"
"GO:0008188","neuropeptide receptor activity","GO:0003674","molecular function"
"GO:0030548","acetylcholine receptor regulator activity","GO:0003674","molecular function"
"GO:0004033","aldo-keto reductase (NADP) activity","GO:0003674","molecular function"
"GO:0047023","androsterone dehydrogenase activity","GO:0003674","molecular function"
"GO:0004032","alditol:NADP+ 1-oxidoreductase activity","GO:0003674","molecular function"
"GO:0001758","retinal dehydrogenase activity","GO:0003674","molecular function"
"GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","GO:0003674","molecular function"
"GO:0016715","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen","GO:0003674","molecular function"
"GO:0004970","ionotropic glutamate receptor activity","GO:0003674","molecular function"
"GO:0005234","extracellularly glutamate-gated ion channel activity","GO:0003674","molecular function"
"GO:0004972","NMDA glutamate receptor activity","GO:0003674","molecular function"
"GO:0022843","voltage-gated cation channel activity","GO:0003674","molecular function"
"GO:0022849","glutamate-gated calcium ion channel activity","GO:0003674","molecular function"
"GO:0004016","adenylate cyclase activity","GO:0003674","molecular function"
"GO:0017080","sodium channel regulator activity","GO:0003674","molecular function"
"GO:0030594","neurotransmitter receptor activity","GO:0003674","molecular function"
"GO:0015175","neutral amino acid transmembrane transporter activity","GO:0003674","molecular function"
"GO:0015179","L-amino acid transmembrane transporter activity","GO:0003674","molecular function"
"GO:0003995","acyl-CoA dehydrogenase activity","GO:0003674","molecular function"
"GO:0005225","volume-sensitive anion channel activity","GO:0003674","molecular function"
"GO:0005242","inward rectifier potassium channel activity","GO:0003674","molecular function"
"GO:0005315","inorganic phosphate transmembrane transporter activity","GO:0003674","molecular function"
"GO:0008273","calcium, potassium:sodium antiporter activity","GO:0003674","molecular function"
"GO:0070139","SUMO-specific endopeptidase activity","GO:0003674","molecular function"
"GO:0008028","monocarboxylic acid transmembrane transporter activity","GO:0003674","molecular function"
"GO:0015349","thyroid hormone transmembrane transporter activity","GO:0003674","molecular function"
"GO:0019208","phosphatase regulator activity","GO:0003674","molecular function"
"GO:0030695","GTPase regulator activity","GO:0003674","molecular function"
"GO:0051920","peroxiredoxin activity","GO:0003674","molecular function"
"GO:0005092","GDP-dissociation inhibitor activity","GO:0003674","molecular function"
"GO:0004459","L-lactate dehydrogenase activity","GO:0003674","molecular function"
"GO:0042030","ATPase inhibitor activity","GO:0003674","molecular function"
"GO:0005248","voltage-gated sodium channel activity","GO:0003674","molecular function"
"GO:0048763","calcium-induced calcium release activity","GO:0003674","molecular function"
"GO:0004303","estradiol 17-beta-dehydrogenase activity","GO:0003674","molecular function"
"GO:0047035","testosterone dehydrogenase (NAD+) activity","GO:0003674","molecular function"
"GO:0030297","transmembrane receptor protein tyrosine kinase activator activity","GO:0003674","molecular function"
"GO:0015299","solute:proton antiporter activity","GO:0003674","molecular function"
"GO:0015385","sodium:proton antiporter activity","GO:0003674","molecular function"
"GO:0015386","potassium:proton antiporter activity","GO:0003674","molecular function"
"GO:0000900","translation repressor activity, mRNA regulatory element binding","GO:0003674","molecular function"
"GO:0015272","ATP-activated inward rectifier potassium channel activity","GO:0003674","molecular function"
"GO:1902282","voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization","GO:0003674","molecular function"
"GO:0005221","intracellular cyclic nucleotide activated cation channel activity","GO:0003674","molecular function"
"GO:0004499","N,N-dimethylaniline monooxygenase activity","GO:0003674","molecular function"
"GO:0004365","glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity","GO:0003674","molecular function"
"GO:0030234","enzyme regulator activity","GO:0003674","molecular function"
"GO:0032454","histone demethylase activity (H3-K9 specific)","GO:0003674","molecular function"
"GO:0004089","carbonate dehydratase activity","GO:0003674","molecular function"
"GO:0015037","peptide disulfide oxidoreductase activity","GO:0003674","molecular function"
"GO:0070579","methylcytosine dioxygenase activity","GO:0003674","molecular function"
"GO:0015183","L-aspartate transmembrane transporter activity","GO:0003674","molecular function"
"GO:0015194","L-serine transmembrane transporter activity","GO:0003674","molecular function"
"GO:0005355","glucose transmembrane transporter activity","GO:0003674","molecular function"
"GO:0005351","carbohydrate:proton symporter activity","GO:0003674","molecular function"
"GO:0001614","purinergic nucleotide receptor activity","GO:0003674","molecular function"
"GO:0004931","extracellularly ATP-gated cation channel activity","GO:0003674","molecular function"
"GO:0015165","pyrimidine nucleotide-sugar transmembrane transporter activity","GO:0003674","molecular function"
"GO:0005313","L-glutamate transmembrane transporter activity","GO:0003674","molecular function"
"GO:0015114","phosphate ion transmembrane transporter activity","GO:0003674","molecular function"
"GO:0019209","kinase activator activity","GO:0003674","molecular function"
"GO:0008656","cysteine-type endopeptidase activator activity involved in apoptotic process","GO:0003674","molecular function"
"GO:0030284","estrogen receptor activity","GO:0003674","molecular function"
"GO:0008641","ubiquitin-like modifier activating enzyme activity","GO:0003674","molecular function"
"GO:0004955","prostaglandin receptor activity","GO:0003674","molecular function"
"GO:0004957","prostaglandin E receptor activity","GO:0003674","molecular function"
"GO:0001875","lipopolysaccharide receptor activity","GO:0003674","molecular function"
"GO:0005042","netrin receptor activity","GO:0003674","molecular function"
"GO:0004656","procollagen-proline 4-dioxygenase activity","GO:0003674","molecular function"
"GO:0030229","very-low-density lipoprotein particle receptor activity","GO:0003674","molecular function"
"GO:0004839","ubiquitin activating enzyme activity","GO:0003674","molecular function"
"GO:0004897","ciliary neurotrophic factor receptor activity","GO:0003674","molecular function"
"GO:0016628","oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor","GO:0003674","molecular function"
"GO:0005324","long-chain fatty acid transporter activity","GO:0003674","molecular function"
"GO:0005041","low-density lipoprotein particle receptor activity","GO:0003674","molecular function"
"GO:0008525","phosphatidylcholine transporter activity","GO:0003674","molecular function"
"GO:0031545","peptidyl-proline 4-dioxygenase activity","GO:0003674","molecular function"
"GO:1990380","Lys48-specific deubiquitinase activity","GO:0003674","molecular function"
"GO:0018685","alkane 1-monooxygenase activity","GO:0003674","molecular function"
"GO:0008047","enzyme activator activity","GO:0003674","molecular function"
"GO:0004467","long-chain fatty acid-CoA ligase activity","GO:0003674","molecular function"
"GO:0031957","very long-chain fatty acid-CoA ligase activity","GO:0003674","molecular function"
