"density","motif","jasparid","celltype","tissue","pval"
0.481299974206861,"Nr5a2","MA0505.1","Heart.cardiac muscle cell","Heart","***"
0.513283466597885,"MEF2C","MA0497.1","Heart.cardiac muscle cell","Heart","***"
0.271601753933454,"Nkx2-5","MA0503.1","Heart.cardiac muscle cell","Heart","***"
0.189063709053392,"Gata4","MA0482.1","Heart.cardiac muscle cell","Heart","***"
0.342790817642507,"MEF2A","MA0052.1","Heart.cardiac muscle cell","Heart","***"
0.506061387670879,"CTCF","MA0139.1","Heart.cardiac muscle cell","Heart","***"
0.322672169202992,"Esrrb","MA0141.1","Heart.cardiac muscle cell","Heart","***"
0.151147794686613,"NFKB1","MA0105.1","Heart.cardiac muscle cell","Heart","*"
0.216146505029662,"SPI1","MA0080.4","Heart.cardiac muscle cell","Heart",""
0.155532628320867,"Lhx3","PH0093.1","Heart.cardiac muscle cell","Heart","**"
0.145989166881609,"HNF1A","MA0046.1","Heart.cardiac muscle cell","Heart",""
0.0884704668558163,"CEBPB","MA0466.1","Heart.cardiac muscle cell","Heart",""
0.0923394377095693,"PBX1","MA0070.1","Heart.cardiac muscle cell","Heart"," "
0.14676296105236,"TBX5","MA0807.1","Heart.cardiac muscle cell","Heart","**"
0.455506835181842,"Pparg::Rxra","MA0065.2","Heart.cardiac muscle cell","Heart","***"
0.207892700541656,"Hnf4a","MA0114.3","Heart.cardiac muscle cell","Heart","*"
0.0603559453185453,"Cebpa","MA0102.1","Heart.cardiac muscle cell","Heart",""
0.372377622377622,"Nr5a2","MA0505.1","Spleen.B cell","Spleen","***"
0.305944055944056,"MEF2C","MA0497.1","Spleen.B cell","Spleen",""
0.180944055944056,"Nkx2-5","MA0503.1","Spleen.B cell","Spleen",""
0.109265734265734,"Gata4","MA0482.1","Spleen.B cell","Spleen",""
0.18006993006993,"MEF2A","MA0052.1","Spleen.B cell","Spleen",""
0.313811188811189,"CTCF","MA0139.1","Spleen.B cell","Spleen",""
0.203671328671329,"Esrrb","MA0141.1","Spleen.B cell","Spleen","***"
0.223776223776224,"NFKB1","MA0105.1","Spleen.B cell","Spleen"," "
0.500874125874126,"SPI1","MA0080.4","Spleen.B cell","Spleen","***"
0.105769230769231,"Lhx3","PH0093.1","Spleen.B cell","Spleen",""
0.102272727272727,"HNF1A","MA0046.1","Spleen.B cell","Spleen",""
0.0638111888111888,"CEBPB","MA0466.1","Spleen.B cell","Spleen",""
0.0743006993006993,"PBX1","MA0070.1","Spleen.B cell","Spleen",""
0.190559440559441,"TBX5","MA0807.1","Spleen.B cell","Spleen","***"
0.331293706293706,"Pparg::Rxra","MA0065.2","Spleen.B cell","Spleen",""
0.13986013986014,"Hnf4a","MA0114.3","Spleen.B cell","Spleen",""
0.0603146853146853,"Cebpa","MA0102.1","Spleen.B cell","Spleen",""
0.526748531767218,"Nr5a2","MA0505.1","Liver.hepatocyte","Liver","."
0.296849973304859,"MEF2C","MA0497.1","Liver.hepatocyte","Liver",""
0.21388147357181,"Nkx2-5","MA0503.1","Liver.hepatocyte","Liver"," "
0.174159103043246,"Gata4","MA0482.1","Liver.hepatocyte","Liver","**"
0.158675920982381,"MEF2A","MA0052.1","Liver.hepatocyte","Liver",""
0.382274426054458,"CTCF","MA0139.1","Liver.hepatocyte","Liver","**"
0.317992525360384,"Esrrb","MA0141.1","Liver.hepatocyte","Liver"," "
0.137213027229044,"NFKB1","MA0105.1","Liver.hepatocyte","Liver",""
0.194981313400961,"SPI1","MA0080.4","Liver.hepatocyte","Liver",""
0.172023491724506,"Lhx3","PH0093.1","Liver.hepatocyte","Liver","***"
0.262466631073145,"HNF1A","MA0046.1","Liver.hepatocyte","Liver","**"
0.174265883609183,"CEBPB","MA0466.1","Liver.hepatocyte","Liver","**"
0.131446876668446,"PBX1","MA0070.1","Liver.hepatocyte","Liver"," "
0.198825413774693,"TBX5","MA0807.1","Liver.hepatocyte","Liver","**"
0.598718633208756,"Pparg::Rxra","MA0065.2","Liver.hepatocyte","Liver"," "
0.391777896422851,"Hnf4a","MA0114.3","Liver.hepatocyte","Liver","**"
0.131980779498131,"Cebpa","MA0102.1","Liver.hepatocyte","Liver"," "
0.288109362909466,"Nr5a2","MA0505.1","Heart.cardiac muscle cell(control)","Heart",""
0.295589373226722,"MEF2C","MA0497.1","Heart.cardiac muscle cell(control)","Heart",""
0.169460923394377,"Nkx2-5","MA0503.1","Heart.cardiac muscle cell(control)","Heart",""
0.125612587051844,"Gata4","MA0482.1","Heart.cardiac muscle cell(control)","Heart",""
0.163012638638122,"MEF2A","MA0052.1","Heart.cardiac muscle cell(control)","Heart",""
0.327830797007996,"CTCF","MA0139.1","Heart.cardiac muscle cell(control)","Heart",""
0.214083053907661,"Esrrb","MA0141.1","Heart.cardiac muscle cell(control)","Heart",""
0.129739489295847,"NFKB1","MA0105.1","Heart.cardiac muscle cell(control)","Heart",""
0.247614134640186,"SPI1","MA0080.4","Heart.cardiac muscle cell(control)","Heart",""
0.131287077637348,"Lhx3","PH0093.1","Heart.cardiac muscle cell(control)","Heart",""
0.151663657467114,"HNF1A","MA0046.1","Heart.cardiac muscle cell(control)","Heart",""
0.0993035852463245,"CEBPB","MA0466.1","Heart.cardiac muscle cell(control)","Heart",""
0.0851173587825638,"PBX1","MA0070.1","Heart.cardiac muscle cell(control)","Heart",""
0.121485684807841,"TBX5","MA0807.1","Heart.cardiac muscle cell(control)","Heart",""
0.349497033789012,"Pparg::Rxra","MA0065.2","Heart.cardiac muscle cell(control)","Heart",""
