	gene	chr	start	end	tissue	cell.type
1	0610009L18Rik	chr11	120165704	120167377	Heart	Heart.cardiac muscle cell
2	0610009L18Rik	chr11	120168716	120169709	Heart	Heart.cardiac muscle cell
3	0610009L18Rik	chr11	120171928	120172615	Heart	Heart.cardiac muscle cell
4	0610009L18Rik	chr11	120176452	120178736	Heart	Heart.cardiac muscle cell
6	0610009L18Rik	chr11	120219054	120221778	Heart	Heart.cardiac muscle cell
7	0610009L18Rik	chr11	120235140	120235803	Heart	Heart.cardiac muscle cell
8	0610009L18Rik	chr11	120243728	120244311	Heart	Heart.cardiac muscle cell
9	0610009L18Rik	chr11	120247650	120248363	Heart	Heart.cardiac muscle cell
10	1110032A03Rik	chr9	50531232	50531949	Heart	Heart.cardiac muscle cell
11	1110032A03Rik	chr9	50581775	50584728	Heart	Heart.cardiac muscle cell
12	1190002N15Rik	chr9	94411356	94412120	Heart	Heart.cardiac muscle cell
13	1190002N15Rik	chr9	94437119	94439541	Heart	Heart.cardiac muscle cell
14	1600014C10Rik	chr7	38951983	38953675	Heart	Heart.cardiac muscle cell
15	1600014C10Rik	chr7	38997207	38998144	Heart	Heart.cardiac muscle cell
16	1600014C10Rik	chr7	39002158	39003283	Heart	Heart.cardiac muscle cell
17	1600014C10Rik	chr7	39009606	39010529	Heart	Heart.cardiac muscle cell
18	1700012D01Rik	chr10	127078654	127081432	Heart	Heart.cardiac muscle cell
19	1700012D01Rik	chr10	127111760	127112398	Heart	Heart.cardiac muscle cell
20	1700025G04Rik	chr1	153935849	153938576	Heart	Heart.cardiac muscle cell
30	1700113A16Rik	chr3	87985143	87985663	Heart	Heart.cardiac muscle cell
31	1700120C14Rik	chr15	99079238	99079883	Heart	Heart.cardiac muscle cell
32	1700120C14Rik	chr15	99079951	99080351	Heart	Heart.cardiac muscle cell
33	1700120C14Rik	chr15	99095788	99096820	Heart	Heart.cardiac muscle cell
34	1700123M08Rik	chr4	11896171	11896513	Heart	Heart.cardiac muscle cell
35	1700123M08Rik	chr4	11902312	11903838	Heart	Heart.cardiac muscle cell
36	1700123M08Rik	chr4	11913652	11915096	Heart	Heart.cardiac muscle cell
37	1810014B01Rik	chr10	86099362	86100387	Heart	Heart.cardiac muscle cell
38	1810014B01Rik	chr10	86193434	86194282	Heart	Heart.cardiac muscle cell
39	2010111I01Rik	chr13	63057056	63057959	Heart	Heart.cardiac muscle cell
40	2010111I01Rik	chr13	63071608	63072668	Heart	Heart.cardiac muscle cell
56	2010320M18Rik	chr8	73292904	73293872	Heart	Heart.cardiac muscle cell
58	2010320M18Rik	chr8	73345257	73346587	Heart	Heart.cardiac muscle cell
63	2210408F21Rik	chr6	31211809	31213209	Heart	Heart.cardiac muscle cell
67	2310015A10Rik	chr12	81269074	81270192	Heart	Heart.cardiac muscle cell
68	2310022A10Rik	chr7	28292659	28293991	Heart	Heart.cardiac muscle cell
69	2310022A10Rik	chr7	28311033	28312408	Heart	Heart.cardiac muscle cell
70	2310022A10Rik	chr7	28354795	28355505	Heart	Heart.cardiac muscle cell
71	2310022A10Rik	chr7	28394305	28395056	Heart	Heart.cardiac muscle cell
75	2310057M21Rik	chr7	138552913	138555381	Heart	Heart.cardiac muscle cell
76	2310061I04Rik	chr17	36010569	36011999	Heart	Heart.cardiac muscle cell
77	2310061I04Rik	chr17	36033313	36035328	Heart	Heart.cardiac muscle cell
78	2310061I04Rik	chr17	36040336	36041292	Heart	Heart.cardiac muscle cell
79	2410004B18Rik	chr3	145560470	145561131	Heart	Heart.cardiac muscle cell
80	2410004B18Rik	chr3	145562090	145563624	Heart	Heart.cardiac muscle cell
81	2410004B18Rik	chr3	145567735	145569161	Heart	Heart.cardiac muscle cell
82	2410004B18Rik	chr3	145609118	145610186	Heart	Heart.cardiac muscle cell
83	2410004B18Rik	chr3	145622710	145623364	Heart	Heart.cardiac muscle cell
84	2410004B18Rik	chr3	145625986	145627858	Heart	Heart.cardiac muscle cell
85	2510002D24Rik	chr16	18859890	18860828	Heart	Heart.cardiac muscle cell
86	2610306M01Rik	chr6	86772069	86773574	Heart	Heart.cardiac muscle cell
87	2610306M01Rik	chr6	86782472	86783558	Heart	Heart.cardiac muscle cell
88	2610306M01Rik	chr6	86835557	86836818	Heart	Heart.cardiac muscle cell
89	2610507I01Rik	chr11	58976052	58978338	Heart	Heart.cardiac muscle cell
90	2610507I01Rik	chr11	59007245	59007676	Heart	Heart.cardiac muscle cell
91	2700097O09Rik	chr12	56160031	56161813	Heart	Heart.cardiac muscle cell
92	2810001G20Rik	chr11	63904578	63905612	Heart	Heart.cardiac muscle cell
93	2810004N23Rik	chr8	127350427	127351977	Heart	Heart.cardiac muscle cell
100	2810004N23Rik	chr8	127396416	127397152	Heart	Heart.cardiac muscle cell
103	2810006K23Rik	chr5	124784093	124784912	Heart	Heart.cardiac muscle cell
104	2810006K23Rik	chr5	124800695	124801839	Heart	Heart.cardiac muscle cell
105	2900076A07Rik	chr7	88686740	88687744	Heart	Heart.cardiac muscle cell
106	3110040N11Rik	chr7	88888641	88889556	Heart	Heart.cardiac muscle cell
107	3425401B19Rik	chr14	33513558	33514971	Heart	Heart.cardiac muscle cell
108	3425401B19Rik	chr14	33520633	33522057	Heart	Heart.cardiac muscle cell
109	4430402I18Rik	chr19	29014457	29016206	Heart	Heart.cardiac muscle cell
